         220002 function calls (213002 primitive calls) in 7.229 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    3.486    0.003    3.486    0.003 {method 'resize' of 'ImagingCore' objects}
     1000    3.146    0.003    3.146    0.003 {built-in method torch._C._nn.upsample_nearest2d}
     2000    0.193    0.000    0.193    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     1000    0.086    0.000    0.086    0.000 {built-in method torch.round}
     1000    0.026    0.000    0.089    0.000 {built-in method numpy.array}
     5000    0.022    0.000    0.022    0.000 {method 'encode' of 'ImagingEncoder' objects}
     1000    0.018    0.000    0.018    0.000 {method 'join' of 'bytes' objects}
     3000    0.015    0.000    0.015    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     3000    0.012    0.000    0.012    0.000 {built-in method torch.as_tensor}
     1000    0.010    0.000    0.023    0.000 /vision/torchvision/prototype/features/_feature.py:42(new_like)
     2000    0.009    0.000    0.009    0.000 {built-in method _make_subclass}
     1000    0.009    0.000    0.009    0.000 {built-in method torch.randint}
     1000    0.009    0.000    3.489    0.003 /vision/torchvision/prototype/transforms/functional/_geometry.py:131(resize_mask)
2000/1000    0.008    0.000    0.009    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
     1000    0.007    0.000    0.121    0.000 /vision/torchvision/transforms/functional.py:176(pil_to_tensor)
     5000    0.007    0.000    0.012    0.000 /vision/torchvision/prototype/features/_feature.py:61(__torch_function__)
     1000    0.007    0.000    3.466    0.003 /vision/torchvision/prototype/transforms/functional/_geometry.py:94(resize_image_tensor)
     1000    0.007    0.000    3.442    0.003 /vision/torchvision/transforms/functional_tensor.py:447(resize)
     1000    0.006    0.000    0.055    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:705(tobytes)
3000/1000    0.006    0.000    7.229    0.007 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
     2000    0.005    0.000    0.005    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
3000/1000    0.005    0.000    0.007    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:161(tree_unflatten)
     1000    0.005    0.000    3.497    0.003 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1975(resize)
     2000    0.005    0.000    7.027    0.004 /vision/torchvision/prototype/transforms/functional/_geometry.py:155(resize)
     1000    0.005    0.000    0.014    0.000 /vision/torchvision/prototype/transforms/_geometry.py:898(_get_params)
3000/1000    0.005    0.000    0.018    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
     1000    0.004    0.000    7.225    0.007 /vision/torchvision/prototype/transforms/_container.py:15(forward)
     1000    0.004    0.000    0.135    0.000 main.py:435(forward)
    32000    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
     1000    0.004    0.000    0.004    0.000 {method 'permute' of 'torch._C._TensorBase' objects}
     2000    0.004    0.000    0.017    0.000 /vision/torchvision/prototype/features/_feature.py:25(__new__)
     1000    0.004    0.000    3.151    0.003 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:3765(interpolate)
     1000    0.003    0.000    0.221    0.000 /vision/torchvision/transforms/functional_tensor.py:534(_cast_squeeze_out)
     1000    0.003    0.000    7.038    0.007 /vision/torchvision/prototype/transforms/_transform.py:38(<listcomp>)
