         127985 function calls in 0.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      999    0.766    0.001    0.766    0.001 {method 'resize' of 'ImagingCore' objects}
     1000    0.028    0.000    0.028    0.000 {method 'crop' of 'ImagingCore' objects}
     1000    0.018    0.000    0.075    0.000 /vision/torchvision/transforms/transforms.py:910(get_params)
     1000    0.010    0.000    0.010    0.000 {built-in method torch.tensor}
     2000    0.009    0.000    0.009    0.000 {built-in method torch.randint}
     2542    0.008    0.000    0.008    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
     2542    0.007    0.000    0.007    0.000 {built-in method torch.empty}
     5000    0.006    0.000    0.011    0.000 /vision/torchvision/utils.py:538(_log_api_usage_once)
     1000    0.006    0.000    0.006    0.000 {built-in method torch.log}
     1000    0.005    0.000    0.795    0.001 /vision/torchvision/transforms/functional.py:388(resize)
     2000    0.004    0.000    0.006    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:531(_new)
     1000    0.004    0.000    0.774    0.001 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1975(resize)
     1271    0.004    0.000    0.004    0.000 {built-in method torch.exp}
     4542    0.004    0.000    0.004    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     1000    0.003    0.000    0.847    0.001 /vision/torchvision/transforms/functional.py:594(resized_crop)
     2000    0.003    0.000    0.017    0.000 /vision/torchvision/transforms/functional.py:61(get_dimensions)
     2000    0.003    0.000    0.007    0.000 /vision/torchvision/transforms/functional_pil.py:24(get_dimensions)
     5000    0.003    0.000    0.003    0.000 {built-in method torch._C._log_api_usage_once}
    18000    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     1000    0.003    0.000    0.031    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1178(_crop)
     5000    0.003    0.000    0.005    0.000 /usr/local/lib/python3.8/dist-packages/torch/jit/_trace.py:1008(is_tracing)
     1000    0.003    0.000    0.924    0.001 /vision/torchvision/transforms/transforms.py:954(forward)
     1000    0.002    0.000    0.777    0.001 /vision/torchvision/transforms/functional_pil.py:240(resize)
     5000    0.002    0.000    0.002    0.000 {built-in method torch._C._is_tracing}
     1000    0.002    0.000    0.927    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
     1000    0.002    0.000    0.037    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1154(crop)
     3000    0.002    0.000    0.002    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:802(load)
     1000    0.002    0.000    0.043    0.000 /vision/torchvision/transforms/functional.py:528(crop)
     2000    0.002    0.000    0.002    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:500(__init__)
     4000    0.001    0.000    0.002    0.000 /vision/torchvision/transforms/functional_pil.py:16(_is_pil_image)
     1000    0.001    0.000    0.039    0.000 /vision/torchvision/transforms/functional_pil.py:225(crop)
     2000    0.001    0.000    0.002    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1254(getbands)
     1000    0.001    0.000    0.001    0.000 {built-in method torch._C._get_tracing_state}
     5000    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     2000    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/ImageMode.py:36(getmode)
    10000    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/torch/_jit_internal.py:1082(is_scripting)
     2542    0.001    0.000    0.001    0.000 {built-in method builtins.round}
     3000    0.001    0.000    0.001    0.000 {method 'pixel_access' of 'ImagingCore' objects}
     5000    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     4001    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:527(size)
     1000    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:3022(_decompression_bomb_check)
     1000    0.000    0.000    0.001    0.000 /vision/torchvision/transforms/functional.py:363(_compute_resized_output_size)
     2000    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1000    0.000    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:735(__hash__)
     2542    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
     2000    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
     2000    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
     1000    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1141(copy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/cProfile.py:133(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


