         1217996 function calls (1217852 primitive calls) in 2.081 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      169    0.721    0.004    0.721    0.004 {method 'transform2' of 'ImagingCore' objects}
      223    0.396    0.002    0.396    0.002 {built-in method PIL._imaging.blend}
      836    0.240    0.000    0.240    0.000 {method 'point' of 'ImagingCore' objects}
      577    0.188    0.000    0.188    0.000 {method 'histogram' of 'ImagingCore' objects}
      461    0.058    0.000    0.451    0.001 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/ImageOps.py:355(equalize)
   642628    0.054    0.000    0.054    0.000 {built-in method builtins.round}
       16    0.051    0.003    0.051    0.003 {method 'filter' of 'ImagingCore' objects}
      836    0.048    0.000    0.102    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1723(<listcomp>)
     1000    0.040    0.000    2.071    0.002 /vision/torchvision/transforms/autoaugment.py:255(forward)
      414    0.037    0.000    0.037    0.000 {method 'convert' of 'ImagingCore' objects}
    10000    0.026    0.000    0.026    0.000 {built-in method torch.linspace}
     1000    0.023    0.000    0.083    0.000 /vision/torchvision/transforms/autoaugment.py:223(_augmentation_space)
   472792    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
      241    0.016    0.000    0.016    0.000 {built-in method PIL._imaging.fill}
     3000    0.012    0.000    0.012    0.000 {built-in method torch.tensor}
     2000    0.011    0.000    0.011    0.000 {built-in method torch.randint}
     1383    0.009    0.000    0.009    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/ImageOps.py:371(<listcomp>)
     1000    0.009    0.000    0.009    0.000 {built-in method torch.rsub}
     1000    0.009    0.000    2.081    0.002 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
       44    0.008    0.000    0.044    0.001 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/ImageOps.py:65(autocontrast)
