         148708 function calls (146429 primitive calls) in 3.330 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1374    0.725    0.001    1.280    0.001 /vision/torchvision/transforms/functional_tensor.py:875(_scale_channel)
      165    0.520    0.003    0.520    0.003 {built-in method torch.grid_sampler}
     3830    0.336    0.000    0.336    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     1374    0.319    0.000    0.319    0.000 {built-in method torch.bincount}
  336/168    0.305    0.001    0.305    0.002 {built-in method torch.where}
      231    0.107    0.000    0.133    0.001 /vision/torchvision/transforms/functional_tensor.py:150(rgb_to_grayscale)
      263    0.091    0.000    0.091    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
       16    0.083    0.005    0.083    0.005 {built-in method torch.conv2d}
      168    0.081    0.000    0.081    0.000 {method 'ge' of 'torch._C._TensorBase' objects}
      307    0.071    0.000    0.071    0.000 {method 'sub' of 'torch._C._TensorBase' objects}
      247    0.066    0.000    0.256    0.001 /vision/torchvision/transforms/functional_tensor.py:264(_blend)
      165    0.063    0.000    0.063    0.000 {method 'bmm' of 'torch._C._TensorBase' objects}
     1677    0.054    0.000    0.054    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
     1000    0.045    0.000    3.325    0.003 /vision/torchvision/prototype/transforms/_auto_augment.py:276(forward)
      458    0.043    0.000    0.043    0.000 {built-in method torch.stack}
      330    0.034    0.000    0.034    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
22544/22496    0.031    0.000    0.618    0.000 /vision/torchvision/prototype/features/_feature.py:59(__torch_function__)
      181    0.030    0.000    0.030    0.000 {built-in method torch.round}
     4122    0.019    0.000    0.019    0.000 {built-in method torch.div}
      165    0.016    0.000    0.016    0.000 {method 'fill_' of 'torch._C._TensorBase' objects}
      103    0.016    0.000    0.016    0.000 {method '__and__' of 'torch._C._TensorBase' objects}
     1296    0.013    0.000    0.035    0.000 /vision/torchvision/prototype/features/_feature.py:40(new_like)
     1374    0.012    0.000    0.012    0.000 {built-in method torch.nn.functional.pad}
       56    0.011    0.000    0.073    0.001 /vision/torchvision/transforms/functional_tensor.py:853(autocontrast)
      458    0.011    0.000    1.299    0.003 /vision/torchvision/transforms/functional_tensor.py:897(<listcomp>)
     2412    0.011    0.000    0.011    0.000 {built-in method torch.rand}
     1910    0.010    0.000    0.018    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
2199/2034    0.010    0.000    0.010    0.000 {method 'view' of 'torch._C._TensorBase' objects}
   112/56    0.009    0.000    0.009    0.000 {method 'amin' of 'torch._C._TensorBase' objects}
   112/56    0.009    0.000    0.009    0.000 {method 'amax' of 'torch._C._TensorBase' objects}
     1000    0.008    0.000    0.008    0.000 {built-in method torch.randint}
     1390    0.008    0.000    0.008    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
     1374    0.008    0.000    0.008    0.000 {built-in method torch.cumsum}
     3358    0.008    0.000    0.011    0.000 /vision/torchvision/transforms/functional_tensor.py:9(_is_tensor_a_torch_image)
     1296    0.007    0.000    0.007    0.000 {built-in method _make_subclass}
      910    0.006    0.000    0.006    0.000 {built-in method torch.linspace}
      165    0.006    0.000    0.126    0.001 /vision/torchvision/transforms/functional_tensor.py:581(_gen_affine_grid)
      581    0.005    0.000    0.005    0.000 {built-in method torch.tensor}
     1296    0.005    0.000    0.040    0.000 /vision/torchvision/prototype/features/_image.py:96(new_like)
     2592    0.005    0.000    0.005    0.000 {built-in method torch.as_tensor}
     1000    0.004    0.000    0.009    0.000 /vision/torchvision/prototype/features/_image.py:104(image_size)
     1000    0.004    0.000    0.006    0.000 /vision/torchvision/prototype/features/_image.py:108(num_channels)
     1280    0.004    0.000    3.215    0.003 /vision/torchvision/prototype/transforms/_auto_augment.py:60(_apply_image_transform)
     1296    0.004    0.000    0.018    0.000 /vision/torchvision/prototype/features/_image.py:65(__new__)
     1000    0.003    0.000    0.008    0.000 /vision/torchvision/prototype/transforms/_auto_augment.py:34(_extract_image)
      458    0.003    0.000    1.359    0.003 /vision/torchvision/transforms/functional_tensor.py:900(equalize)
       74    0.003    0.000    0.003    0.000 {built-in method torch.mean}
      458    0.003    0.000    1.347    0.003 /vision/torchvision/transforms/functional_tensor.py:896(_equalize_single_image)
      251    0.003    0.000    0.065    0.000 /vision/torchvision/transforms/functional_tensor.py:774(invert)
       16    0.003    0.000    0.103    0.006 /vision/torchvision/transforms/functional_tensor.py:816(_blurred_degenerate_image)
      140    0.003    0.000    0.641    0.005 /vision/torchvision/prototype/transforms/functional/_geometry.py:458(rotate_image_tensor)
     1000    0.003    0.000    0.018    0.000 /vision/torchvision/prototype/transforms/functional/_meta.py:14(get_chw)
     1000    0.003    0.000    3.330    0.003 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
    32/16    0.002    0.000    0.003    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
    13987    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     2000    0.002    0.000    0.003    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:112(__init__)
     1296    0.002    0.000    0.010    0.000 /vision/torchvision/prototype/features/_feature.py:23(__new__)
