         1827041 function calls (1792534 primitive calls) in 6.310 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    1.450    0.001    1.450    0.001 {built-in method torch._C._nn._upsample_bilinear2d_aa}
15251/13251    0.518    0.000    0.565    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2628    0.466    0.000    0.855    0.000 /vision/torchvision/transforms/functional_tensor.py:875(_scale_channel)
      309    0.233    0.001    0.233    0.001 {built-in method torch.grid_sampler}
    96931    0.208    0.000    0.997    0.000 /vision/torchvision/prototype/features/_feature.py:71(__torch_function__)
4000/2000    0.201    0.000    0.208    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
     2628    0.175    0.000    0.175    0.000 {built-in method torch.bincount}
4062/4031    0.171    0.000    0.172    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     2000    0.125    0.000    0.125    0.000 {method 'div' of 'torch._C._TensorBase' objects}
     2000    0.106    0.000    0.106    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
     2340    0.099    0.000    0.099    0.000 {built-in method torch.round}
  586/293    0.099    0.000    0.100    0.000 {built-in method torch.where}
     2000    0.087    0.000    2.263    0.001 /vision/torchvision/prototype/transforms/_auto_augment.py:276(forward)
    10462    0.083    0.000    0.321    0.000 /vision/torchvision/prototype/features/_feature.py:42(new_like)
     4000    0.072    0.000    0.807    0.000 /vision/torchvision/prototype/transforms/_transform.py:66(forward)
      430    0.068    0.000    0.096    0.000 /vision/torchvision/transforms/functional_tensor.py:150(rgb_to_grayscale)
     2000    0.066    0.000    0.152    0.000 /vision/torchvision/transforms/functional_tensor.py:943(erase)
     2000    0.055    0.000    0.055    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
    10000    0.055    0.000    0.055    0.000 {built-in method torch.randint}
     8770    0.053    0.000    0.053    0.000 {built-in method torch.rand}
     2000    0.053    0.000    0.168    0.000 /vision/torchvision/prototype/transforms/_augment.py:48(_get_params)
    24924    0.052    0.000    0.052    0.000 {built-in method torch.as_tensor}
12173/11864    0.047    0.000    0.048    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    22308    0.044    0.000    0.083    0.000 /vision/torchvision/transforms/functional_tensor.py:9(_is_tensor_a_torch_image)
     9584    0.043    0.000    0.104    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
    12462    0.043    0.000    0.043    0.000 {method 'as_subclass' of 'torch._C._TensorBase' objects}
     5052    0.043    0.000    0.043    0.000 {built-in method torch.tensor}
   278135    0.042    0.000    0.042    0.000 {built-in method builtins.isinstance}
     2000    0.041    0.000    0.334    0.000 /vision/torchvision/transforms/functional_tensor.py:917(normalize)
      461    0.040    0.000    0.134    0.000 /vision/torchvision/transforms/functional_tensor.py:264(_blend)
     3181    0.039    0.000    0.039    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
      293    0.039    0.000    0.039    0.000 {method 'ge' of 'torch._C._TensorBase' objects}
      492    0.038    0.000    0.038    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
     2000    0.037    0.000    0.176    0.000 /vision/torchvision/prototype/transforms/_geometry.py:107(_get_params)
     7884    0.037    0.000    0.037    0.000 {built-in method torch.div}
    96931    0.036    0.000    0.086    0.000 {built-in method builtins.all}
16000/2000    0.036    0.000    6.310    0.003 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
      526    0.035    0.000    0.035    0.000 {method 'sub' of 'torch._C._TensorBase' objects}
     9060    0.033    0.000    0.033    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
    12000    0.033    0.000    3.822    0.000 /vision/torchvision/prototype/transforms/_transform.py:32(forward)
      309    0.033    0.000    0.033    0.000 {method 'bmm' of 'torch._C._TensorBase' objects}
   193862    0.032    0.000    0.050    0.000 /vision/torchvision/prototype/features/_feature.py:99(<genexpr>)
     2000    0.031    0.000    6.303    0.003 /vision/torchvision/prototype/transforms/_container.py:15(forward)
18893/10462    0.031    0.000    0.061    0.000 {method 'requires_grad_' of 'torch._C._TensorBase' objects}
     9369    0.030    0.000    0.030    0.000 {built-in method torch.empty}
    10462    0.030    0.000    0.351    0.000 /vision/torchvision/prototype/features/_image.py:96(new_like)
      876    0.029    0.000    0.029    0.000 {built-in method torch.stack}
    10462    0.028    0.000    0.170    0.000 /vision/torchvision/prototype/features/_image.py:65(__new__)
     2000    0.027    0.000    0.327    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
24000/22000    0.027    0.000    0.132    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
    24000    0.025    0.000    0.035    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:112(__init__)
     2628    0.023    0.000    0.023    0.000 {built-in method torch.nn.functional.pad}
     4000    0.021    0.000    0.046    0.000 /vision/torchvision/prototype/features/_image.py:104(image_size)
