         1269905 function calls (1243829 primitive calls) in 5.986 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    1.454    0.001    1.454    0.001 {built-in method torch._C._nn._upsample_bilinear2d_aa}
15251/13251    0.527    0.000    0.551    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2628    0.477    0.000    0.875    0.000 /vision/torchvision/transforms/functional_tensor.py:875(_scale_channel)
      309    0.231    0.001    0.231    0.001 {built-in method torch.grid_sampler}
4000/2000    0.203    0.000    0.216    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
     2628    0.177    0.000    0.177    0.000 {built-in method torch.bincount}
4062/4031    0.171    0.000    0.171    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
    59364    0.135    0.000    0.135    0.000 {method 'as_subclass' of 'torch._C._TensorBase' objects}
     2000    0.125    0.000    0.125    0.000 {method 'div' of 'torch._C._TensorBase' objects}
     2000    0.107    0.000    0.107    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
  586/293    0.099    0.000    0.100    0.000 {built-in method torch.where}
     2340    0.099    0.000    0.099    0.000 {built-in method torch.round}
     2000    0.085    0.000    2.156    0.001 /vision/torchvision/prototype/transforms/_auto_augment.py:276(forward)
    18305    0.084    0.000    0.757    0.000 /vision/torchvision/prototype/features/_feature.py:74(__torch_function__)
     4000    0.073    0.000    0.754    0.000 /vision/torchvision/prototype/transforms/_transform.py:66(forward)
     2000    0.067    0.000    0.154    0.000 /vision/torchvision/transforms/functional_tensor.py:943(erase)
      430    0.065    0.000    0.092    0.000 /vision/torchvision/transforms/functional_tensor.py:150(rgb_to_grayscale)
     2000    0.055    0.000    0.055    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
     2000    0.054    0.000    0.172    0.000 /vision/torchvision/prototype/transforms/_augment.py:48(_get_params)
    10000    0.052    0.000    0.052    0.000 {built-in method torch.randint}
     8770    0.051    0.000    0.051    0.000 {built-in method torch.rand}
12173/11864    0.048    0.000    0.049    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     5052    0.043    0.000    0.043    0.000 {built-in method torch.tensor}
     2000    0.043    0.000    0.338    0.000 /vision/torchvision/transforms/functional_tensor.py:917(normalize)
     3181    0.040    0.000    0.040    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
      293    0.039    0.000    0.039    0.000 {method 'ge' of 'torch._C._TensorBase' objects}
      461    0.038    0.000    0.134    0.000 /vision/torchvision/transforms/functional_tensor.py:264(_blend)
     7884    0.038    0.000    0.038    0.000 {built-in method torch.div}
      492    0.038    0.000    0.038    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
     2000    0.036    0.000    0.160    0.000 /vision/torchvision/prototype/transforms/_geometry.py:107(_get_params)
16000/2000    0.035    0.000    5.986    0.003 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
      526    0.034    0.000    0.034    0.000 {method 'sub' of 'torch._C._TensorBase' objects}
    12000    0.033    0.000    3.608    0.000 /vision/torchvision/prototype/transforms/_transform.py:32(forward)
     9060    0.033    0.000    0.033    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
      309    0.033    0.000    0.033    0.000 {method 'bmm' of 'torch._C._TensorBase' objects}
     9369    0.031    0.000    0.031    0.000 {built-in method torch.empty}
     2000    0.030    0.000    5.979    0.003 /vision/torchvision/prototype/transforms/_container.py:15(forward)
      876    0.029    0.000    0.029    0.000 {built-in method torch.stack}
   178585    0.027    0.000    0.027    0.000 {built-in method builtins.isinstance}
24000/22000    0.027    0.000    0.132    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
    24000    0.025    0.000    0.034    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:112(__init__)
     2628    0.024    0.000    0.024    0.000 {built-in method torch.nn.functional.pad}
     9584    0.023    0.000    0.070    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
     4000    0.022    0.000    0.022    0.000 {built-in method torch.as_tensor}
    19629    0.021    0.000    0.058    0.000 /vision/torchvision/prototype/features/_feature.py:145(shape)
     4530    0.019    0.000    0.019    0.000 {built-in method torch.exp}
     2000    0.019    0.000    0.307    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
    22000    0.019    0.000    0.051    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:132(__init__)
      876    0.019    0.000    0.917    0.001 /vision/torchvision/transforms/functional_tensor.py:897(<listcomp>)
    16000    0.019    0.000    0.019    0.000 {built-in method torch._C._get_tracing_state}
    12000    0.018    0.000    3.159    0.000 /vision/torchvision/prototype/transforms/_transform.py:38(<listcomp>)
    20256    0.018    0.000    0.059    0.000 /vision/torchvision/prototype/features/_feature.py:149(ndim)
    26000    0.018    0.000    0.020    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:86(_is_namedtuple_instance)
      618    0.017    0.000    0.017    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
