         1223003 function calls (1196927 primitive calls) in 5.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    1.454    0.001    1.454    0.001 {built-in method torch._C._nn._upsample_bilinear2d_aa}
15251/13251    0.520    0.000    0.545    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2628    0.468    0.000    0.855    0.000 /vision/torchvision/transforms/functional_tensor.py:875(_scale_channel)
      309    0.233    0.001    0.233    0.001 {built-in method torch.grid_sampler}
4000/2000    0.208    0.000    0.220    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
     2628    0.175    0.000    0.175    0.000 {built-in method torch.bincount}
4062/4031    0.170    0.000    0.170    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     2000    0.123    0.000    0.123    0.000 {method 'div' of 'torch._C._TensorBase' objects}
     2000    0.106    0.000    0.106    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
  586/293    0.099    0.000    0.101    0.000 {built-in method torch.where}
     2340    0.098    0.000    0.098    0.000 {built-in method torch.round}
     2000    0.082    0.000    2.086    0.001 /vision/torchvision/prototype/transforms/_auto_augment.py:276(forward)
    18305    0.079    0.000    0.755    0.000 /vision/torchvision/prototype/features/_feature.py:74(__torch_function__)
     4000    0.070    0.000    0.736    0.000 /vision/torchvision/prototype/transforms/_transform.py:66(forward)
     2000    0.066    0.000    0.152    0.000 /vision/torchvision/transforms/functional_tensor.py:943(erase)
      430    0.064    0.000    0.087    0.000 /vision/torchvision/transforms/functional_tensor.py:150(rgb_to_grayscale)
     2000    0.055    0.000    0.055    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
     2000    0.052    0.000    0.164    0.000 /vision/torchvision/prototype/transforms/_augment.py:48(_get_params)
    10000    0.050    0.000    0.050    0.000 {built-in method torch.randint}
     8770    0.050    0.000    0.050    0.000 {built-in method torch.rand}
12173/11864    0.047    0.000    0.048    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    12462    0.044    0.000    0.044    0.000 {method 'as_subclass' of 'torch._C._TensorBase' objects}
     5052    0.043    0.000    0.043    0.000 {built-in method torch.tensor}
     2000    0.041    0.000    0.333    0.000 /vision/torchvision/transforms/functional_tensor.py:917(normalize)
      293    0.038    0.000    0.038    0.000 {method 'ge' of 'torch._C._TensorBase' objects}
     3181    0.038    0.000    0.038    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
      461    0.038    0.000    0.132    0.000 /vision/torchvision/transforms/functional_tensor.py:264(_blend)
      492    0.038    0.000    0.038    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
     7884    0.036    0.000    0.036    0.000 {built-in method torch.div}
     2000    0.036    0.000    0.142    0.000 /vision/torchvision/prototype/transforms/_geometry.py:107(_get_params)
16000/2000    0.035    0.000    5.833    0.003 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
      526    0.034    0.000    0.034    0.000 {method 'sub' of 'torch._C._TensorBase' objects}
    12000    0.034    0.000    3.530    0.000 /vision/torchvision/prototype/transforms/_transform.py:32(forward)
      309    0.033    0.000    0.033    0.000 {method 'bmm' of 'torch._C._TensorBase' objects}
     9060    0.030    0.000    0.030    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
     9369    0.030    0.000    0.030    0.000 {built-in method torch.empty}
      876    0.030    0.000    0.030    0.000 {built-in method torch.stack}
     2000    0.028    0.000    5.825    0.003 /vision/torchvision/prototype/transforms/_container.py:15(forward)
24000/22000    0.027    0.000    0.132    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
   178585    0.027    0.000    0.027    0.000 {built-in method builtins.isinstance}
