         3039391 function calls (3039109 primitive calls) in 5.618 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    1.522    0.001    1.522    0.001 {method 'resize' of 'ImagingCore' objects}
     2000    0.507    0.000    0.507    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
     2000    0.431    0.000    0.431    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
      313    0.327    0.001    0.327    0.001 {method 'transform2' of 'ImagingCore' objects}
     4000    0.187    0.000    0.187    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     2000    0.138    0.000    0.230    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
     1696    0.133    0.000    0.133    0.000 {method 'point' of 'ImagingCore' objects}
      461    0.124    0.000    0.124    0.000 {built-in method PIL._imaging.blend}
  1312826    0.113    0.000    0.113    0.000 {built-in method builtins.round}
      900    0.112    0.000    0.450    0.001 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/ImageOps.py:355(equalize)
     1150    0.102    0.000    0.102    0.000 {method 'histogram' of 'ImagingCore' objects}
     1696    0.093    0.000    0.201    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1723(<listcomp>)
    14000    0.084    0.000    0.084    0.000 {built-in method torch.tensor}
     2000    0.078    0.000    1.567    0.001 /vision/torchvision/transforms/autoaugment.py:255(forward)
     2000    0.072    0.000    0.072    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2000    0.072    0.000    0.072    0.000 {method 'transpose' of 'ImagingCore' objects}
     2000    0.061    0.000    0.160    0.000 /vision/torchvision/transforms/functional_tensor.py:943(erase)
     2000    0.056    0.000    0.056    0.000 {method 'crop' of 'ImagingCore' objects}
     6000    0.055    0.000    0.055    0.000 {method 'encode' of 'ImagingEncoder' objects}
    20000    0.055    0.000    0.055    0.000 {built-in method torch.linspace}
    12000    0.053    0.000    0.053    0.000 {built-in method torch.randint}
     2000    0.049    0.000    0.144    0.000 /vision/torchvision/transforms/transforms.py:1656(get_params)
     2000    0.048    0.000    0.172    0.000 /vision/torchvision/transforms/autoaugment.py:223(_augmentation_space)
   957207    0.045    0.000    0.045    0.000 {method 'append' of 'list' objects}
    24505    0.041    0.000    0.071    0.000 /vision/torchvision/utils.py:538(_log_api_usage_once)
    12000    0.041    0.000    5.368    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
     2000    0.040    0.000    1.114    0.001 /vision/torchvision/transforms/functional_tensor.py:917(normalize)
     2000    0.037    0.000    0.151    0.000 {built-in method numpy.array}
