         689920 function calls in 4.689 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    0.551    0.000    0.551    0.000 {built-in method torch._C._nn.upsample_bilinear2d}
    13717    0.521    0.000    0.521    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2778    0.493    0.000    0.902    0.000 /vision/torchvision/transforms/functional_tensor.py:875(_scale_channel)
      330    0.256    0.001    0.256    0.001 {built-in method torch.grid_sampler}
     2000    0.192    0.000    0.192    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
     2778    0.184    0.000    0.184    0.000 {built-in method torch.bincount}
     4031    0.166    0.000    0.166    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     2000    0.128    0.000    0.211    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
      298    0.114    0.000    0.114    0.000 {built-in method torch.where}
     2000    0.106    0.000    0.106    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
     2361    0.098    0.000    0.098    0.000 {built-in method torch.round}
    15103    0.088    0.000    0.088    0.000 {built-in method torch.tensor}
     2000    0.079    0.000    2.196    0.001 /vision/torchvision/transforms/autoaugment.py:255(forward)
      503    0.078    0.000    0.131    0.000 /vision/torchvision/transforms/functional_tensor.py:264(_blend)
      472    0.070    0.000    0.087    0.000 /vision/torchvision/transforms/functional_tensor.py:150(rgb_to_grayscale)
     2000    0.065    0.000    0.150    0.000 /vision/torchvision/transforms/functional_tensor.py:943(erase)
    20660    0.058    0.000    0.058    0.000 {built-in method torch.linspace}
    12000    0.055    0.000    0.055    0.000 {built-in method torch.randint}
     2000    0.054    0.000    0.054    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
     2000    0.050    0.000    0.145    0.000 /vision/torchvision/transforms/transforms.py:1656(get_params)
     2000    0.049    0.000    0.172    0.000 /vision/torchvision/transforms/autoaugment.py:223(_augmentation_space)
     3379    0.041    0.000    0.041    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
    12000    0.041    0.000    4.662    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
      298    0.040    0.000    0.178    0.001 /vision/torchvision/transforms/functional_tensor.py:801(solarize)
    22600    0.039    0.000    0.066    0.000 /vision/torchvision/utils.py:538(_log_api_usage_once)
     8334    0.038    0.000    0.038    0.000 {built-in method torch.div}
     2000    0.037    0.000    0.323    0.000 /vision/torchvision/transforms/functional_tensor.py:917(normalize)
     2000    0.036    0.000    0.364    0.000 /vision/torchvision/transforms/transforms.py:1698(forward)
     2000    0.035    0.000    0.144    0.000 /vision/torchvision/transforms/transforms.py:910(get_params)
     6000    0.035    0.000    0.035    0.000 {built-in method torch.rand}
      330    0.034    0.000    0.034    0.000 {method 'bmm' of 'torch._C._TensorBase' objects}
      926    0.031    0.000    0.031    0.000 {built-in method torch.stack}
     2000    0.029    0.000    0.254    0.000 /vision/torchvision/transforms/transforms.py:696(forward)
    11842    0.028    0.000    0.042    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
      443    0.028    0.000    0.033    0.000 /vision/torchvision/transforms/functional_tensor.py:774(invert)
     9050    0.027    0.000    0.027    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
     7438    0.026    0.000    0.026    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     2000    0.025    0.000    4.689    0.002 /vision/torchvision/transforms/transforms.py:93(__call__)
     2778    0.023    0.000    0.023    0.000 {built-in method torch.nn.functional.pad}
     9380    0.022    0.000    0.022    0.000 {built-in method torch.empty}
     2000    0.021    0.000    0.026    0.000 /vision/torchvision/prototype/features/_feature.py:73(__torch_function__)
    20393    0.019    0.000    0.019    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     4000    0.019    0.000    0.019    0.000 {built-in method torch.log}
    22600    0.019    0.000    0.019    0.000 {built-in method torch._C._log_api_usage_once}
      660    0.018    0.000    0.018    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
     2000    0.018    0.000    0.018    0.000 {built-in method torch.rsub}
     4000    0.018    0.000    0.018    0.000 {built-in method torch.as_tensor}
     4525    0.015    0.000    0.015    0.000 {built-in method torch.exp}
     2809    0.015    0.000    0.015    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
    12000    0.015    0.000    0.015    0.000 {built-in method torch._C._get_tracing_state}
       31    0.014    0.000    0.014    0.000 {built-in method torch.conv2d}
      926    0.014    0.000    0.917    0.001 /vision/torchvision/transforms/functional_tensor.py:897(<listcomp>)
     2778    0.014    0.000    0.014    0.000 {built-in method torch.cumsum}
       98    0.014    0.000    0.038    0.000 /vision/torchvision/transforms/functional_tensor.py:853(autocontrast)
     2000    0.014    0.000    0.051    0.000 /vision/torchvision/transforms/functional_tensor.py:132(crop)
