         3996540 function calls (3946014 primitive calls) in 13.169 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5000    1.410    0.000    1.410    0.000 {built-in method torch._C._nn.upsample_bilinear2d}
    33354    1.344    0.000    1.344    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     6522    1.187    0.000    2.177    0.000 /vision/torchvision/transforms/functional_tensor.py:875(_scale_channel)
      821    0.621    0.001    0.621    0.001 {built-in method torch.grid_sampler}
10000/5000    0.521    0.000    0.553    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
10202/10101    0.441    0.000    0.442    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     6522    0.439    0.000    0.439    0.000 {built-in method torch.bincount}
     5000    0.333    0.000    0.553    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
 1422/711    0.291    0.000    0.295    0.000 {built-in method torch.where}
     5000    0.268    0.000    0.268    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
     5922    0.257    0.000    0.257    0.000 {built-in method torch.round}
     5000    0.215    0.000    5.426    0.001 /vision/torchvision/prototype/transforms/_auto_augment.py:276(forward)
    10000    0.180    0.000    1.887    0.000 /vision/torchvision/prototype/transforms/_transform.py:66(forward)
    31018    0.174    0.000    1.372    0.000 /vision/torchvision/prototype/features/_feature.py:73(__torch_function__)
     5000    0.168    0.000    0.393    0.000 /vision/torchvision/transforms/functional_tensor.py:943(erase)
     1093    0.166    0.000    0.223    0.000 /vision/torchvision/transforms/functional_tensor.py:150(rgb_to_grayscale)
     5000    0.139    0.000    0.433    0.000 /vision/torchvision/prototype/transforms/_augment.py:48(_get_params)
     5000    0.138    0.000    0.138    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
    25000    0.134    0.000    0.134    0.000 {built-in method torch.randint}
    22015    0.128    0.000    0.128    0.000 {built-in method torch.rand}
30627/29806    0.127    0.000    0.129    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    12689    0.107    0.000    0.107    0.000 {built-in method torch.tensor}
     5000    0.103    0.000    0.418    0.000 /vision/torchvision/prototype/transforms/_geometry.py:107(_get_params)
     7986    0.103    0.000    0.103    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
     5000    0.103    0.000    0.846    0.000 /vision/torchvision/transforms/functional_tensor.py:917(normalize)
     1295    0.102    0.000    0.102    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
     1194    0.101    0.000    0.350    0.000 /vision/torchvision/transforms/functional_tensor.py:264(_blend)
    26153    0.098    0.000    0.098    0.000 {method 'as_subclass' of 'torch._C._TensorBase' objects}
     5000    0.098    0.000    0.357    0.000 /usr/lib/python3.8/traceback.py:321(extract)
    19566    0.095    0.000    0.095    0.000 {built-in method torch.div}
      711    0.094    0.000    0.094    0.000 {method 'ge' of 'torch._C._TensorBase' objects}
