-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::copy_        36.75%      60.004ms        36.75%      60.004ms      62.180us           965  
    aten::upsample_bilinear2d        14.49%      23.662ms        14.56%      23.767ms     475.340us            50  
                    aten::div         6.58%      10.748ms         6.73%      10.985ms      48.606us           226  
        aten::grid_sampler_2d         6.04%       9.860ms         6.07%       9.913ms     901.182us            11  
                  aten::index         4.56%       7.452ms         4.94%       8.058ms      74.611us           108  
                  aten::round         3.96%       6.472ms         3.96%       6.472ms      99.569us            65  
                   aten::flip         2.86%       4.665ms         2.98%       4.861ms      97.220us            50  
                    aten::mul         1.62%       2.639ms         2.93%       4.788ms     104.087us            46  
                   aten::div_         1.58%       2.579ms         1.58%       2.579ms      50.569us            51  
                  aten::clamp         1.57%       2.568ms         1.57%       2.568ms      39.508us            65  
               aten::_to_copy         1.56%       2.541ms        24.52%      40.043ms      54.480us           735  
                    aten::add         1.33%       2.171ms         1.33%       2.171ms      28.566us            76  
               aten::bincount         1.21%       1.974ms         2.37%       3.863ms      71.537us            54  
                  aten::where         1.20%       1.962ms         1.20%       1.965ms     327.500us             6  
          aten::empty_strided         1.05%       1.707ms         1.05%       1.707ms       1.927us           886  
     aten::mkldnn_convolution         0.82%       1.341ms         0.82%       1.344ms       1.344ms             1  
                   aten::sub_         0.81%       1.329ms         0.81%       1.329ms      26.580us            50  
                    aten::bmm         0.81%       1.328ms         0.81%       1.328ms     120.727us            11  
                     aten::ge         0.72%       1.180ms         1.72%       2.810ms      26.509us           106  
                    aten::sub         0.71%       1.158ms         0.99%       1.624ms      95.529us            17  
                     aten::to         0.62%       1.019ms        24.93%      40.702ms      37.548us          1084  
                    aten::min         0.54%     882.000us         0.57%     936.000us      17.333us            54  
                 aten::select         0.52%     854.000us         0.53%     866.000us       2.042us           424  
                  aten::empty         0.52%     852.000us         0.52%     852.000us       0.504us          1689  
                    aten::max         0.50%     824.000us         0.50%     824.000us      15.259us            54  
                  aten::slice         0.50%     812.000us         0.56%     914.000us       2.116us           432  
               aten::uniform_         0.46%     759.000us         0.46%     759.000us       1.683us           451  
                aten::randint         0.41%     665.000us         0.60%     984.000us       3.936us           250  
                   aten::rand         0.37%     596.000us         0.63%       1.035ms       4.726us           219  
                    aten::cat         0.34%     554.000us         0.36%     593.000us      32.944us            18  
                   aten::view         0.32%     525.000us         0.32%     525.000us       1.434us           366  
                     aten::le         0.29%     472.000us         0.64%       1.048ms       8.807us           119  
                     aten::eq         0.27%     439.000us         0.42%     689.000us       6.439us           107  
                   aten::item         0.24%     389.000us         0.24%     389.000us       0.363us          1071  
                  aten::alias         0.24%     388.000us         0.24%     388.000us       1.540us           252  
                  aten::fill_         0.22%     362.000us         0.22%     362.000us       1.270us           285  
                    aten::sum         0.22%     355.000us         0.27%     439.000us       5.701us            77  
                  aten::clone         0.21%     350.000us        13.20%      21.558ms     211.353us           102  
                aten::nonzero         0.21%     348.000us         0.21%     348.000us       6.444us            54  
                    aten::exp         0.20%     333.000us         0.20%     333.000us       2.871us           116  
        aten::constant_pad_nd         0.18%     299.000us         0.36%     591.000us      10.944us            54  
                    aten::any         0.17%     285.000us         0.17%     285.000us       5.700us            50  
             aten::as_strided         0.17%     273.000us         0.17%     273.000us       0.204us          1340  
                     aten::ne         0.16%     267.000us         0.17%     279.000us       4.895us            57  
             aten::is_nonzero         0.16%     255.000us         0.25%     412.000us       1.276us           323  
                 aten::cumsum         0.16%     254.000us         0.16%     254.000us       4.704us            54  
                aten::random_         0.15%     249.000us         0.15%     249.000us       0.996us           250  
               aten::linspace         0.15%     237.000us         0.20%     327.000us       3.479us            94  
                aten::reshape         0.11%     181.000us         0.14%     235.000us       1.975us           119  
              aten::unsqueeze         0.11%     173.000us         0.11%     173.000us       1.602us           108  
                aten::detach_         0.10%     167.000us         0.10%     168.000us       1.292us           130  
            aten::bitwise_and         0.09%     148.000us         0.10%     169.000us      56.333us             3  
                   aten::amin         0.09%     143.000us         0.09%     146.000us      48.667us             3  
                   aten::amax         0.08%     136.000us         0.08%     136.000us      45.333us             3  
                aten::__and__         0.07%     115.000us         0.11%     173.000us      57.667us             3  
                  aten::zeros         0.07%     112.000us         0.08%     129.000us       2.389us            54  
                 aten::expand         0.07%     110.000us         0.07%     119.000us       2.333us            51  
                  aten::stack         0.06%      99.000us         0.43%     710.000us      39.444us            18  
                    aten::pad         0.06%      96.000us         0.40%     656.000us      12.148us            54  
             aten::empty_like         0.06%      93.000us         0.09%     150.000us       2.941us            51  
                 aten::narrow         0.05%      82.000us         0.10%     161.000us       2.236us            72  
         aten::_reshape_alias         0.03%      56.000us         0.03%      56.000us       0.471us           119  
                 aten::unbind         0.03%      48.000us         0.03%      56.000us       8.000us             7  
              aten::transpose         0.02%      36.000us         0.03%      42.000us       3.818us            11  
           aten::grid_sampler         0.02%      34.000us         6.09%       9.947ms     904.273us            11  
                 aten::arange         0.02%      30.000us         0.03%      49.000us       8.167us             6  
             aten::unsqueeze_         0.02%      29.000us         0.02%      29.000us       2.636us            11  
                    aten::abs         0.02%      26.000us         0.02%      37.000us       6.167us             6  
               aten::isfinite         0.01%      21.000us         0.05%      83.000us      27.667us             3  
             aten::index_put_         0.01%      16.000us         0.02%      39.000us       6.500us             6  
       aten::_index_put_impl_         0.01%      16.000us         0.02%      25.000us       4.167us             6  
            aten::logical_not         0.01%      15.000us         0.01%      21.000us       3.500us             6  
             aten::reciprocal         0.01%      11.000us         0.01%      11.000us       3.667us             3  
                   aten::rsub         0.01%      11.000us         0.02%      32.000us      10.667us             3  
           aten::_convolution         0.01%      11.000us         0.84%       1.364ms       1.364ms             1  
           aten::masked_fill_         0.00%       7.000us         0.00%       7.000us       1.167us             6  
            aten::convolution         0.00%       5.000us         0.84%       1.369ms       1.369ms             1  
                   aten::ones         0.00%       4.000us         0.00%       7.000us       7.000us             1  
                aten::squeeze         0.00%       4.000us         0.00%       4.000us       4.000us             1  
            aten::as_strided_         0.00%       2.000us         0.00%       2.000us       0.030us            66  
                 aten::conv2d         0.00%       2.000us         0.84%       1.371ms       1.371ms             1  
                      detach_         0.00%       1.000us         0.00%       1.000us       0.008us           130  
                aten::resize_         0.00%       1.000us         0.00%       1.000us       0.333us             3  
             aten::contiguous         0.00%       1.000us         0.01%       9.000us       9.000us             1  
    aten::_local_scalar_dense         0.00%       0.000us         0.00%       0.000us       0.000us          1071  
             aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us           237  
                  aten::zero_         0.00%       0.000us         0.00%       0.000us       0.000us            54  
           aten::resolve_conj         0.00%       0.000us         0.00%       0.000us       0.000us            22  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 163.279ms

