-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::copy_        33.63%     550.649ms        33.63%     550.649ms      45.941us         11986  
    aten::upsample_bilinear2d        14.14%     231.541ms        14.20%     232.609ms     463.365us           502  
                    aten::div         6.65%     108.936ms         7.10%     116.258ms      36.172us          3214  
                  aten::index         5.91%      96.832ms         6.38%     104.531ms      73.510us          1422  
        aten::grid_sampler_2d         4.58%      75.020ms         4.61%      75.456ms     931.556us            81  
                  aten::round         3.50%      57.361ms         3.50%      57.361ms      52.819us          1086  
                   aten::flip         2.84%      46.429ms         2.95%      48.292ms      96.584us           500  
                  aten::where         1.94%      31.847ms         1.95%      31.857ms     424.760us            75  
                    aten::mul         1.85%      30.251ms         3.18%      52.078ms      96.085us           542  
               aten::_to_copy         1.82%      29.829ms        23.15%     379.104ms      39.519us          9593  
                  aten::clamp         1.73%      28.318ms         1.73%      28.318ms      33.954us           834  
                   aten::div_         1.59%      26.112ms         1.61%      26.310ms      48.994us           537  
               aten::bincount         1.54%      25.214ms         3.06%      50.116ms      70.487us           711  
                    aten::add         1.52%      24.835ms         1.52%      24.835ms      25.264us           983  
                     aten::to         1.10%      17.984ms        23.64%     387.113ms      24.347us         15900  
          aten::empty_strided         1.06%      17.394ms         1.06%      17.394ms       1.567us         11098  
                   aten::sub_         0.80%      13.172ms         0.80%      13.172ms      26.344us           500  
                    aten::sub         0.79%      12.956ms         1.15%      18.860ms      28.663us           658  
               aten::linspace         0.76%      12.408ms         0.84%      13.769ms       1.334us         10324  
                    aten::min         0.71%      11.608ms         0.75%      12.328ms      17.339us           711  
                    aten::max         0.66%      10.786ms         0.66%      10.787ms      15.172us           711  
                 aten::select         0.62%      10.208ms         0.63%      10.349ms       1.809us          5721  
                  aten::slice         0.57%       9.372ms         0.64%      10.412ms       2.135us          4877  
                    aten::bmm         0.56%       9.162ms         0.56%       9.164ms     113.136us            81  
                  aten::empty         0.52%       8.545ms         0.52%       8.545ms       0.340us         25098  
                aten::randint         0.46%       7.540ms         0.64%      10.446ms       3.482us          3000  
                    aten::cat         0.46%       7.509ms         0.49%       8.068ms      34.042us           237  
     aten::mkldnn_convolution         0.42%       6.913ms         0.42%       6.928ms       1.386ms             5  
                     aten::ge         0.40%       6.534ms         1.05%      17.206ms     229.413us            75  
               aten::uniform_         0.39%       6.376ms         0.39%       6.376ms       1.676us          3804  
                     aten::lt         0.35%       5.771ms         0.66%      10.889ms      10.889us          1000  
                     aten::eq         0.32%       5.169ms         0.47%       7.677ms       5.425us          1415  
                    aten::sum         0.31%       5.124ms         0.40%       6.548ms       5.947us          1101  
                   aten::item         0.29%       4.675ms         0.29%       4.675ms       0.431us         10852  
                     aten::le         0.28%       4.648ms         0.58%       9.563ms       9.563us          1000  
                    aten::log         0.27%       4.475ms         0.27%       4.475ms       4.475us          1000  
                aten::nonzero         0.27%       4.376ms         0.27%       4.393ms       6.179us           711  
                   aten::rand         0.26%       4.284ms         0.47%       7.646ms       5.097us          1500  
                  aten::clone         0.24%       3.996ms        12.12%     198.547ms     196.581us          1010  
        aten::constant_pad_nd         0.24%       3.946ms         0.45%       7.448ms      10.475us           711  
             aten::as_strided         0.21%       3.494ms         0.21%       3.494ms       0.205us         17083  
                 aten::cumsum         0.21%       3.385ms         0.21%       3.385ms       4.761us           711  
                     aten::ne         0.21%       3.368ms         0.21%       3.497ms       4.726us           740  
                   aten::view         0.20%       3.230ms         0.20%       3.230ms       1.238us          2610  
                    aten::exp         0.19%       3.058ms         0.19%       3.058ms       2.655us          1152  
                    aten::any         0.19%       3.048ms         0.19%       3.056ms       6.112us           500  
           aten::grid_sampler         0.19%       3.047ms         4.62%      75.681ms     934.333us            81  
                aten::detach_         0.19%       3.031ms         0.19%       3.040ms       0.808us          3762  
                 aten::arange         0.18%       2.990ms         0.27%       4.500ms       4.500us          1000  
              aten::unsqueeze         0.18%       2.917ms         0.21%       3.422ms       2.043us          1675  
                  aten::fill_         0.16%       2.619ms         0.16%       2.619ms       0.743us          3525  
            aten::bitwise_and         0.15%       2.503ms         0.17%       2.790ms      55.800us            50  
                aten::random_         0.15%       2.428ms         0.15%       2.428ms       0.809us          3000  
             aten::is_nonzero         0.14%       2.224ms         0.22%       3.650ms       1.078us          3386  
                aten::reshape         0.12%       2.030ms         0.14%       2.263ms       1.506us          1503  
                aten::squeeze         0.11%       1.759ms         0.11%       1.778ms       3.034us           586  
                   aten::rsub         0.10%       1.556ms         0.32%       5.221ms      10.442us           500  
                  aten::zeros         0.09%       1.537ms         0.11%       1.786ms       2.512us           711  
                   aten::amin         0.08%       1.365ms         0.09%       1.394ms      48.069us            29  
                  aten::stack         0.08%       1.317ms         0.59%       9.608ms      40.540us           237  
                   aten::amax         0.08%       1.283ms         0.08%       1.283ms      44.241us            29  
                    aten::pad         0.07%       1.212ms         0.51%       8.348ms      11.741us           711  
                 aten::expand         0.07%       1.081ms         0.07%       1.086ms       2.150us           505  
                 aten::narrow         0.06%       1.013ms         0.13%       2.051ms       2.164us           948  
             aten::empty_like         0.05%     864.000us         0.08%       1.378ms       2.729us           505  
                 aten::unbind         0.03%     568.000us         0.04%     662.000us       7.438us            89  
                aten::__and__         0.02%     302.000us         0.18%       2.869ms      57.380us            50  
                   aten::mean         0.02%     268.000us         0.06%       1.001ms      31.281us            32  
         aten::_reshape_alias         0.02%     257.000us         0.02%     257.000us       0.171us          1503  
              aten::transpose         0.02%     247.000us         0.02%     327.000us       4.037us            81  
                    aten::abs         0.01%     235.000us         0.02%     329.000us       5.672us            58  
               aten::isfinite         0.01%     199.000us         0.05%     786.000us      27.103us            29  
             aten::unsqueeze_         0.01%     185.000us         0.01%     186.000us       2.296us            81  
       aten::_index_put_impl_         0.01%     171.000us         0.01%     243.000us       4.190us            58  
            aten::logical_not         0.01%     158.000us         0.01%     212.000us       3.655us            58  
             aten::index_put_         0.01%     133.000us         0.02%     372.000us       6.414us            58  
             aten::reciprocal         0.01%     107.000us         0.01%     107.000us       3.690us            29  
           aten::masked_fill_         0.00%      61.000us         0.00%      61.000us       1.052us            58  
           aten::_convolution         0.00%      44.000us         0.43%       7.021ms       1.404ms             5  
                aten::resize_         0.00%      30.000us         0.00%      30.000us       0.060us           500  
            aten::convolution         0.00%      26.000us         0.43%       7.047ms       1.409ms             5  
            aten::as_strided_         0.00%      22.000us         0.00%      22.000us       0.028us           797  
                   aten::ones         0.00%      17.000us         0.00%      30.000us       6.000us             5  
                 aten::conv2d         0.00%      15.000us         0.43%       7.062ms       1.412ms             5  
    aten::_local_scalar_dense         0.00%      11.000us         0.00%      11.000us       0.001us         10852  
                      detach_         0.00%       9.000us         0.00%       9.000us       0.002us          3762  
             aten::contiguous         0.00%       3.000us         0.00%      46.000us       9.200us             5  
                  aten::zero_         0.00%       2.000us         0.00%       2.000us       0.003us           711  
           aten::resolve_conj         0.00%       2.000us         0.00%       2.000us       0.012us           162  
             aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us          4825  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.638s

