-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::copy_        34.15%     548.344ms        34.15%     548.344ms      52.807us         10384  
    aten::upsample_bilinear2d        13.80%     221.522ms        13.87%     222.627ms     445.254us           500  
                    aten::div         6.67%     107.043ms         6.86%     110.081ms      39.441us          2791  
                  aten::index         6.21%      99.625ms         6.73%     108.041ms      75.028us          1440  
        aten::grid_sampler_2d         4.68%      75.158ms         4.71%      75.619ms     933.568us            81  
                  aten::round         3.56%      57.115ms         3.56%      57.115ms      89.803us           636  
                   aten::flip         2.91%      46.781ms         3.05%      49.041ms      98.082us           500  
                  aten::where         1.95%      31.372ms         1.96%      31.399ms     430.123us            73  
                    aten::mul         1.85%      29.772ms         3.23%      51.894ms      95.745us           542  
                  aten::clamp         1.78%      28.538ms         1.78%      28.538ms      33.853us           843  
               aten::_to_copy         1.64%      26.396ms        24.00%     385.381ms      48.281us          7982  
                   aten::div_         1.62%      26.004ms         1.63%      26.214ms      48.635us           539  
               aten::bincount         1.60%      25.732ms         3.18%      51.120ms      71.000us           720  
                    aten::add         1.49%      23.844ms         1.49%      23.844ms      24.036us           992  
          aten::empty_strided         1.14%      18.245ms         1.14%      18.245ms       1.923us          9487  
                     aten::to         0.86%      13.811ms        24.43%     392.270ms      33.229us         11805  
                   aten::sub_         0.84%      13.408ms         0.84%      13.408ms      26.816us           500  
                     aten::ge         0.81%      13.007ms         1.74%      27.877ms      25.980us          1073  
                    aten::min         0.74%      11.908ms         0.79%      12.678ms      17.608us           720  
                    aten::sub         0.74%      11.812ms         0.97%      15.640ms      75.922us           206  
                    aten::max         0.68%      10.913ms         0.68%      10.913ms      15.157us           720  
                  aten::empty         0.63%      10.035ms         0.63%      10.035ms       0.570us         17606  
                  aten::slice         0.62%       9.971ms         0.69%      10.998ms       2.241us          4907  
                    aten::bmm         0.60%       9.591ms         0.60%       9.593ms     118.432us            81  
                 aten::select         0.56%       8.920ms         0.56%       9.037ms       1.984us          4556  
               aten::uniform_         0.49%       7.848ms         0.49%       7.848ms       1.755us          4473  
                    aten::cat         0.47%       7.604ms         0.52%       8.300ms      34.583us           240  
     aten::mkldnn_convolution         0.44%       7.132ms         0.45%       7.146ms       1.429ms             5  
                aten::randint         0.42%       6.714ms         0.63%      10.146ms       4.058us          2500  
                   aten::rand         0.40%       6.362ms         0.71%      11.341ms       5.214us          2175  
                   aten::view         0.36%       5.856ms         0.36%       5.856ms       1.548us          3784  
                    aten::sum         0.34%       5.384ms         0.41%       6.564ms       6.106us          1075  
                     aten::eq         0.30%       4.752ms         0.47%       7.591ms       6.078us          1249  
                aten::nonzero         0.29%       4.666ms         0.29%       4.672ms       6.489us           720  
                     aten::le         0.29%       4.665ms         0.70%      11.196ms       9.529us          1175  
                   aten::item         0.28%       4.507ms         0.28%       4.534ms       0.418us         10847  
                  aten::clone         0.27%       4.317ms        11.76%     188.793ms     186.924us          1010  
                  aten::alias         0.25%       4.049ms         0.25%       4.049ms       1.559us          2597  
                     aten::ne         0.24%       3.820ms         0.25%       3.950ms       5.274us           749  
        aten::constant_pad_nd         0.24%       3.813ms         0.49%       7.818ms      10.858us           720  
                 aten::cumsum         0.22%       3.477ms         0.22%       3.477ms       4.829us           720  
                    aten::exp         0.21%       3.422ms         0.21%       3.422ms       2.978us          1149  
                    aten::any         0.19%       3.085ms         0.19%       3.089ms       6.178us           500  
             aten::as_strided         0.19%       2.991ms         0.19%       2.991ms       0.202us         14813  
                  aten::fill_         0.17%       2.678ms         0.17%       2.678ms       0.752us          3561  
            aten::bitwise_and         0.16%       2.541ms         0.18%       2.828ms      56.560us            50  
                aten::random_         0.16%       2.536ms         0.16%       2.536ms       1.014us          2500  
             aten::is_nonzero         0.15%       2.450ms         0.24%       3.921ms       1.155us          3395  
                aten::reshape         0.15%       2.442ms         0.16%       2.620ms       1.723us          1521  
               aten::linspace         0.14%       2.230ms         0.19%       3.078ms       3.754us           820  
              aten::unsqueeze         0.11%       1.792ms         0.11%       1.811ms       1.655us          1094  
                aten::detach_         0.10%       1.572ms         0.10%       1.575ms       1.250us          1260  
                  aten::zeros         0.10%       1.538ms         0.11%       1.797ms       2.496us           720  
                   aten::amin         0.09%       1.383ms         0.09%       1.413ms      48.724us            29  
                  aten::stack         0.09%       1.374ms         0.62%       9.878ms      41.158us           240  
                   aten::amax         0.08%       1.309ms         0.08%       1.309ms      45.138us            29  
                    aten::pad         0.07%       1.163ms         0.54%       8.722ms      12.114us           720  
                 aten::expand         0.07%       1.124ms         0.07%       1.129ms       2.236us           505  
                 aten::narrow         0.07%       1.102ms         0.15%       2.362ms       2.460us           960  
             aten::empty_like         0.05%     809.000us         0.11%       1.751ms       3.467us           505  
                 aten::unbind         0.04%     621.000us         0.05%     737.000us       8.281us            89  
                aten::__and__         0.03%     475.000us         0.18%       2.900ms      58.000us            50  
                 aten::arange         0.03%     469.000us         0.05%     760.000us       7.600us           100  
              aten::transpose         0.02%     252.000us         0.02%     327.000us       4.037us            81  
           aten::grid_sampler         0.02%     247.000us         4.73%      75.866ms     936.617us            81  
                   aten::mean         0.02%     247.000us         0.06%     998.000us      31.188us            32  
                    aten::abs         0.01%     236.000us         0.02%     336.000us       5.793us            58  
               aten::isfinite         0.01%     201.000us         0.05%     794.000us      27.379us            29  
             aten::unsqueeze_         0.01%     195.000us         0.01%     195.000us       2.407us            81  
         aten::_reshape_alias         0.01%     193.000us         0.01%     193.000us       0.127us          1521  
                   aten::rsub         0.01%     178.000us         0.03%     552.000us      11.040us            50  
       aten::_index_put_impl_         0.01%     173.000us         0.02%     246.000us       4.241us            58  
            aten::logical_not         0.01%     151.000us         0.01%     203.000us       3.500us            58  
             aten::index_put_         0.01%     138.000us         0.02%     382.000us       6.586us            58  
             aten::reciprocal         0.01%     107.000us         0.01%     107.000us       3.690us            29  
           aten::masked_fill_         0.00%      66.000us         0.00%      66.000us       1.138us            58  
           aten::_convolution         0.00%      48.000us         0.45%       7.245ms       1.449ms             5  
    aten::_local_scalar_dense         0.00%      27.000us         0.00%      27.000us       0.002us         10847  
            aten::convolution         0.00%      24.000us         0.45%       7.269ms       1.454ms             5  
                aten::squeeze         0.00%      22.000us         0.00%      25.000us       5.000us             5  
                aten::resize_         0.00%      18.000us         0.00%      18.000us       0.360us            50  
                   aten::ones         0.00%      18.000us         0.00%      33.000us       6.600us             5  
                 aten::conv2d         0.00%      16.000us         0.45%       7.285ms       1.457ms             5  
            aten::as_strided_         0.00%       9.000us         0.00%       9.000us       0.011us           806  
                      detach_         0.00%       5.000us         0.00%       5.000us       0.004us          1260  
             aten::contiguous         0.00%       4.000us         0.00%      48.000us       9.600us             5  
                  aten::zero_         0.00%       2.000us         0.00%       2.000us       0.003us           720  
           aten::resolve_conj         0.00%       2.000us         0.00%       2.000us       0.012us           162  
             aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us          2323  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.606s

