         3474151 function calls (3473827 primitive calls) in 5.537 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    1.647    0.001    1.647    0.001 {method 'resize' of 'ImagingCore' objects}
      309    0.338    0.001    0.338    0.001 {method 'transform2' of 'ImagingCore' objects}
     2000    0.166    0.000    0.166    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
      500    0.142    0.000    0.142    0.000 {built-in method PIL._imaging.blend}
     1648    0.134    0.000    0.134    0.000 {method 'point' of 'ImagingCore' objects}
     2000    0.130    0.000    0.130    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2000    0.129    0.000    0.129    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
      902    0.119    0.000    0.478    0.001 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/ImageOps.py:355(equalize)
  1275822    0.116    0.000    0.116    0.000 {built-in method builtins.round}
     1166    0.108    0.000    0.108    0.000 {method 'histogram' of 'ImagingCore' objects}
     4000    0.104    0.000    0.104    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     1648    0.098    0.000    0.209    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1723(<listcomp>)
     2000    0.093    0.000    0.242    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
    14000    0.091    0.000    0.091    0.000 {built-in method torch.tensor}
     2000    0.088    0.000    1.678    0.001 /vision/torchvision/transforms/autoaugment.py:255(forward)
     2000    0.076    0.000    0.076    0.000 {method 'transpose' of 'ImagingCore' objects}
     2000    0.064    0.000    0.064    0.000 {method 'crop' of 'ImagingCore' objects}
     2000    0.063    0.000    0.116    0.000 /vision/torchvision/transforms/functional_tensor.py:938(erase)
    20000    0.061    0.000    0.061    0.000 {built-in method torch.linspace}
    12000    0.061    0.000    0.061    0.000 {built-in method torch.randint}
     2000    0.059    0.000    0.162    0.000 /vision/torchvision/transforms/transforms.py:1656(get_params)
     6000    0.056    0.000    0.056    0.000 {method 'encode' of 'ImagingEncoder' objects}
  1032422    0.056    0.000    0.056    0.000 {method 'append' of 'list' objects}
     2000    0.053    0.000    0.188    0.000 /vision/torchvision/transforms/autoaugment.py:223(_augmentation_space)
     2000    0.044    0.000    0.178    0.000 /vision/torchvision/transforms/transforms.py:910(get_params)
    12000    0.044    0.000    5.005    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
    24496    0.043    0.000    0.078    0.000 /vision/torchvision/utils.py:538(_log_api_usage_once)
     2000    0.041    0.000    0.150    0.000 /usr/lib/python3.8/traceback.py:321(extract)
     2000    0.041    0.000    0.439    0.000 /vision/torchvision/transforms/functional_tensor.py:912(normalize)
     6000    0.041    0.000    0.041    0.000 {built-in method torch.rand}
     2000    0.040    0.000    0.354    0.000 /vision/torchvision/transforms/transforms.py:1698(forward)
     2000    0.038    0.000    0.165    0.000 /vision/torchvision/transforms/transforms.py:696(forward)
     2000    0.038    0.000    0.156    0.000 {built-in method numpy.array}
    10000    0.037    0.000    0.037    0.000 {built-in method posix.stat}
     6000    0.037    0.000    0.037    0.000 {built-in method torch.as_tensor}
     9078    0.034    0.000    0.034    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
       39    0.033    0.001    0.033    0.001 {method 'filter' of 'ImagingCore' objects}
     2000    0.032    0.000    0.057    0.000 /usr/lib/python3.8/traceback.py:388(format)
     2000    0.032    0.000    5.267    0.003 /vision/torchvision/transforms/transforms.py:93(__call__)
     6000    0.025    0.000    0.025    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     9078    0.025    0.000    0.025    0.000 {built-in method torch.empty}
