         610091 function calls in 6.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6000    3.828    0.001    6.231    0.001 /vision/torchvision/transforms/functional_tensor.py:870(_scale_channel)
     6000    1.223    0.000    1.223    0.000 {built-in method torch.bincount}
    12000    0.892    0.000    0.892    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2000    0.191    0.000    0.191    0.000 {built-in method torch.stack}
    18000    0.086    0.000    0.086    0.000 {built-in method torch.div}
     2000    0.074    0.000    6.305    0.003 /vision/torchvision/transforms/functional_tensor.py:892(<listcomp>)
     6000    0.064    0.000    0.064    0.000 {built-in method torch.nn.functional.pad}
     2000    0.039    0.000    0.142    0.000 /usr/lib/python3.8/traceback.py:321(extract)
     6000    0.038    0.000    0.038    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
    10000    0.037    0.000    0.037    0.000 {built-in method posix.stat}
     6000    0.036    0.000    0.036    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
     6000    0.034    0.000    0.034    0.000 {built-in method torch.cumsum}
     6000    0.031    0.000    0.031    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     2000    0.030    0.000    0.053    0.000 /usr/lib/python3.8/traceback.py:388(format)
     2000    0.024    0.000    6.522    0.003 /vision/torchvision/transforms/functional_tensor.py:891(_equalize_single_image)
     2000    0.024    0.000    0.024    0.000 {built-in method torch.rand}
    54000    0.013    0.000    0.033    0.000 /usr/lib/python3.8/traceback.py:285(line)
    36000    0.012    0.000    0.012    0.000 {method 'format' of 'str' objects}
     2000    0.011    0.000    0.011    0.000 {function Random.seed at 0x7f77e90dc160}
    10000    0.010    0.000    0.047    0.000 /usr/lib/python3.8/linecache.py:53(checkcache)
    18000    0.009    0.000    0.017    0.000 /usr/lib/python3.8/linecache.py:15(getline)
     2000    0.007    0.000    0.239    0.000 /usr/local/lib/python3.8/dist-packages/torch/random.py:26(manual_seed)
     2000    0.007    0.000    6.591    0.003 /vision/torchvision/transforms/transforms.py:2014(forward)
    90000    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
    20000    0.007    0.000    0.007    0.000 /usr/lib/python3.8/traceback.py:292(walk_stack)
     2000    0.006    0.000    0.007    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
     2000    0.006    0.000    6.557    0.003 /vision/torchvision/transforms/functional.py:1481(equalize)
    18000    0.006    0.000    0.007    0.000 /usr/lib/python3.8/linecache.py:147(lazycache)
    18000    0.006    0.000    0.007    0.000 /usr/lib/python3.8/linecache.py:37(getlines)
     2000    0.005    0.000    6.538    0.003 /vision/torchvision/transforms/functional_tensor.py:895(equalize)
     2000    0.005    0.000    6.600    0.003 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
     2000    0.005    0.000    0.017    0.000 /usr/lib/python3.8/random.py:123(seed)
     2000    0.005    0.000    0.008    0.000 /usr/lib/python3.8/traceback.py:369(from_list)
     2000    0.005    0.000    0.005    0.000 {method 'manual_seed' of 'torch._C.Generator' objects}
     2000    0.005    0.000    0.009    0.000 /vision/torchvision/utils.py:538(_log_api_usage_once)
    64000    0.005    0.000    0.005    0.000 {built-in method builtins.len}
    18000    0.005    0.000    0.005    0.000 /usr/lib/python3.8/traceback.py:243(__init__)
     2003    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     2000    0.005    0.000    0.223    0.000 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:163(_lazy_call)
     2000    0.004    0.000    0.147    0.000 /usr/lib/python3.8/traceback.py:200(extract_stack)
     2000    0.004    0.000    0.215    0.000 /usr/lib/python3.8/traceback.py:193(format_stack)
     2000    0.004    0.000    0.004    0.000 {method 'item' of 'torch._C._TensorBase' objects}
    36000    0.004    0.000    0.004    0.000 {method 'strip' of 'str' objects}
     2000    0.004    0.000    0.004    0.000 {built-in method torch._C._get_tracing_state}
     2000    0.003    0.000    0.226    0.000 /usr/local/lib/python3.8/dist-packages/torch/cuda/random.py:98(manual_seed_all)
     2000    0.003    0.000    0.003    0.000 {built-in method torch._C._log_api_usage_once}
     2000    0.003    0.000    0.003    0.000 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:51(queue_seed_all)
    24000    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     2000    0.003    0.000    0.063    0.000 /usr/lib/python3.8/traceback.py:27(format_list)
    18000    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
    18000    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
     2000    0.002    0.000    0.002    0.000 {method 'size' of 'torch._C._TensorBase' objects}
     4000    0.002    0.000    0.002    0.000 /vision/torchvision/transforms/functional_tensor.py:9(_is_tensor_a_torch_image)
     2000    0.002    0.000    0.009    0.000 /vision/torchvision/transforms/functional_tensor.py:62(_assert_channels)
     2000    0.002    0.000    0.003    0.000 /usr/local/lib/python3.8/dist-packages/torch/jit/_trace.py:1017(is_tracing)
     2000    0.001    0.000    0.001    0.000 {built-in method torch._C._is_tracing}
     4000    0.001    0.000    0.003    0.000 /vision/torchvision/transforms/functional_tensor.py:13(_assert_image_tensor)
     2006    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     2000    0.001    0.000    0.001    0.000 {built-in method torch._C._cuda_isInBadFork}
     4000    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/torch/_jit_internal.py:1082(is_scripting)
     2000    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
     2000    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
     2003    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     2000    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:158(is_initialized)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:388(open)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/linecache.py:82(updatecache)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:295(detect_encoding)
        4    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:319(decode)
       12    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        7    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:325(find_cookie)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/cProfile.py:133(__exit__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:309(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:319(read_or_stop)
        3    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codecs.py:260(__init__)
        4    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


