         652002 function calls in 5.986 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6000    3.416    0.001    5.352    0.001 /vision/torchvision/prototype/transforms/functional/_color.py:186(_scale_channel)
     6000    1.214    0.000    1.214    0.000 {built-in method torch.bincount}
    12000    0.454    0.000    0.454    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2000    0.186    0.000    0.186    0.000 {built-in method torch.stack}
    18000    0.084    0.000    0.084    0.000 {built-in method torch.div}
     6000    0.061    0.000    0.061    0.000 {built-in method torch.nn.functional.pad}
    10000    0.048    0.000    0.048    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     2000    0.041    0.000    5.727    0.003 /vision/torchvision/prototype/transforms/_transform.py:66(forward)
     2000    0.038    0.000    0.140    0.000 /usr/lib/python3.8/traceback.py:321(extract)
    10000    0.035    0.000    0.035    0.000 {built-in method posix.stat}
     6000    0.035    0.000    0.035    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
     6000    0.033    0.000    0.033    0.000 {built-in method torch.cumsum}
     2000    0.030    0.000    0.053    0.000 /usr/lib/python3.8/traceback.py:388(format)
     6000    0.028    0.000    0.028    0.000 {method 'clamp_' of 'torch._C._TensorBase' objects}
     2000    0.023    0.000    0.023    0.000 {built-in method torch.rand}
     2000    0.018    0.000    5.621    0.003 /vision/torchvision/prototype/transforms/functional/_color.py:209(equalize_image_tensor)
     2000    0.016    0.000    5.368    0.003 /vision/torchvision/prototype/transforms/functional/_color.py:223(<listcomp>)
    54000    0.013    0.000    0.033    0.000 /usr/lib/python3.8/traceback.py:285(line)
     2000    0.012    0.000    0.012    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
    36000    0.012    0.000    0.012    0.000 {method 'format' of 'str' objects}
     2000    0.010    0.000    0.010    0.000 {function Random.seed at 0x7f77e90dc160}
    10000    0.010    0.000    0.046    0.000 /usr/lib/python3.8/linecache.py:53(checkcache)
    18000    0.009    0.000    0.017    0.000 /usr/lib/python3.8/linecache.py:15(getline)
     2000    0.007    0.000    5.663    0.003 /vision/torchvision/prototype/transforms/_transform.py:32(forward)
    90000    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     2000    0.007    0.000    0.235    0.000 /usr/local/lib/python3.8/dist-packages/torch/random.py:26(manual_seed)
    20000    0.006    0.000    0.006    0.000 /usr/lib/python3.8/traceback.py:292(walk_stack)
     2000    0.006    0.000    0.008    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
