         1833692 function calls (1808563 primitive calls) in 3.965 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    0.399    0.000    0.399    0.000 {built-in method torch._C._nn._upsample_bilinear2d_aa}
      309    0.275    0.001    0.275    0.001 {built-in method torch.grid_sampler}
11909/9909    0.220    0.000    0.244    0.000 {method 'to' of 'torch._C._TensorBase' objects}
    58336    0.147    0.000    0.513    0.000 /vision/torchvision/prototype/features/_feature.py:62(__torch_function__)
     2000    0.093    0.000    1.412    0.001 /vision/torchvision/prototype/transforms/_auto_augment.py:284(forward)
4078/4039    0.090    0.000    0.090    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     4000    0.081    0.000    0.615    0.000 /vision/torchvision/prototype/transforms/_transform.py:71(forward)
1499/1199    0.080    0.000    0.082    0.000 {built-in method torch.where}
4000/2000    0.077    0.000    0.085    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
     2000    0.069    0.000    0.115    0.000 /vision/torchvision/transforms/functional_tensor.py:938(erase)
     2000    0.063    0.000    0.179    0.000 /vision/torchvision/prototype/transforms/_augment.py:48(_get_params)
     2000    0.062    0.000    0.062    0.000 {method 'div' of 'torch._C._TensorBase' objects}
      454    0.060    0.000    0.090    0.000 /vision/torchvision/transforms/functional_tensor.py:150(rgb_to_grayscale)
    10000    0.059    0.000    0.059    0.000 {built-in method torch.randint}
     8802    0.058    0.000    0.058    0.000 {built-in method torch.rand}
      899    0.057    0.000    0.057    0.000 {method 'scatter_add_' of 'torch._C._TensorBase' objects}
12242/11034    0.056    0.000    0.060    0.000 {method 'view' of 'torch._C._TensorBase' objects}
      899    0.050    0.000    0.337    0.000 /vision/torchvision/prototype/transforms/functional/_color.py:186(_equalize_image_tensor_vec)
     3798    0.048    0.000    0.048    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
    21466    0.047    0.000    0.091    0.000 /vision/torchvision/transforms/functional_tensor.py:9(_is_tensor_a_torch_image)
     5058    0.047    0.000    0.047    0.000 {built-in method torch.tensor}
    12487    0.047    0.000    0.047    0.000 {method 'as_subclass' of 'torch._C._TensorBase' objects}
     9656    0.047    0.000    0.116    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
16000/2000    0.047    0.000    3.697    0.002 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
     2000    0.046    0.000    0.190    0.000 /vision/torchvision/prototype/transforms/_geometry.py:107(_get_params)
     2000    0.045    0.000    0.202    0.000 /vision/torchvision/transforms/functional_tensor.py:912(normalize)
     1798    0.044    0.000    0.044    0.000 {method 'gather' of 'torch._C._TensorBase' objects}
     2348    0.042    0.000    0.042    0.000 {built-in method torch.round}
   238649    0.041    0.000    0.041    0.000 {built-in method builtins.isinstance}
     2000    0.041    0.000    0.148    0.000 /usr/lib/python3.8/traceback.py:321(extract)
