         1584158 function calls (1559029 primitive calls) in 3.722 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    0.383    0.000    0.383    0.000 {built-in method torch._C._nn._upsample_bilinear2d_aa}
      309    0.276    0.001    0.276    0.001 {built-in method torch.grid_sampler}
11909/9909    0.222    0.000    0.246    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     2000    0.090    0.000    1.310    0.001 /vision/torchvision/prototype/transforms/_auto_augment.py:284(forward)
4078/4039    0.086    0.000    0.087    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
1499/1199    0.080    0.000    0.081    0.000 {built-in method torch.where}
     4000    0.079    0.000    0.585    0.000 /vision/torchvision/prototype/transforms/_transform.py:71(forward)
4000/2000    0.078    0.000    0.090    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
    16747    0.070    0.000    0.376    0.000 /vision/torchvision/prototype/features/_feature.py:64(__torch_function__)
     2000    0.067    0.000    0.112    0.000 /vision/torchvision/transforms/functional_tensor.py:938(erase)
     2000    0.062    0.000    0.173    0.000 /vision/torchvision/prototype/transforms/_augment.py:48(_get_params)
     2000    0.060    0.000    0.060    0.000 {method 'div' of 'torch._C._TensorBase' objects}
    10000    0.059    0.000    0.059    0.000 {built-in method torch.randint}
      454    0.057    0.000    0.081    0.000 /vision/torchvision/transforms/functional_tensor.py:150(rgb_to_grayscale)
      899    0.056    0.000    0.056    0.000 {method 'scatter_add_' of 'torch._C._TensorBase' objects}
     8802    0.055    0.000    0.055    0.000 {built-in method torch.rand}
12242/11034    0.053    0.000    0.057    0.000 {method 'view' of 'torch._C._TensorBase' objects}
      899    0.049    0.000    0.333    0.000 /vision/torchvision/prototype/transforms/functional/_color.py:186(_equalize_image_tensor_vec)
     3798    0.047    0.000    0.047    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
    12487    0.045    0.000    0.045    0.000 {method 'as_subclass' of 'torch._C._TensorBase' objects}
     2000    0.045    0.000    0.165    0.000 /vision/torchvision/prototype/transforms/_geometry.py:107(_get_params)
16000/2000    0.045    0.000    3.453    0.002 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1268(_call_impl)
     5058    0.045    0.000    0.045    0.000 {built-in method torch.tensor}
     1798    0.044    0.000    0.044    0.000 {method 'gather' of 'torch._C._TensorBase' objects}
     2000    0.043    0.000    0.194    0.000 /vision/torchvision/transforms/functional_tensor.py:912(normalize)
     2348    0.041    0.000    0.041    0.000 {built-in method torch.round}
     2000    0.040    0.000    0.148    0.000 /usr/lib/python3.8/traceback.py:321(extract)
     9064    0.038    0.000    0.038    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
    10000    0.037    0.000    0.037    0.000 {built-in method posix.stat}
     9373    0.035    0.000    0.035    0.000 {built-in method torch.empty}
   197060    0.034    0.000    0.034    0.000 {built-in method builtins.isinstance}
     2000    0.033    0.000    0.058    0.000 /usr/lib/python3.8/traceback.py:388(format)
     2000    0.031    0.000    3.445    0.002 /vision/torchvision/prototype/transforms/_container.py:15(forward)
     2899    0.031    0.000    0.031    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
     8000    0.027    0.000    1.463    0.000 /vision/torchvision/prototype/transforms/_transform.py:35(forward)
     9656    0.024    0.000    0.045    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
      493    0.023    0.000    0.072    0.000 /vision/torchvision/transforms/functional_tensor.py:264(_blend)
     4000    0.022    0.000    0.022    0.000 {built-in method torch.as_tensor}
    16743    0.021    0.000    0.021    0.000 /vision/torchvision/prototype/features/_feature.py:135(shape)
     4532    0.021    0.000    0.021    0.000 {built-in method torch.exp}
      532    0.020    0.000    0.020    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
    16000    0.019    0.000    0.019    0.000 {built-in method torch._C._get_tracing_state}
     2000    0.019    0.000    0.202    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
10670/7335    0.017    0.000    0.033    0.000 {method 'is_floating_point' of 'torch._C._TensorBase' objects}
    17774    0.017    0.000    0.017    0.000 /vision/torchvision/prototype/features/_feature.py:140(ndim)
    14000    0.017    0.000    0.024    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:112(__init__)
    17064    0.017    0.000    0.017    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     2000    0.015    0.000    0.062    0.000 /vision/torchvision/transforms/functional_tensor.py:132(crop)
    16000    0.015    0.000    0.033    0.000 /vision/torchvision/prototype/transforms/_utils.py:113(_isinstance)
    14000    0.015    0.000    0.021    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:161(tree_unflatten)
    54000    0.015    0.000    0.037    0.000 /usr/lib/python3.8/traceback.py:285(line)
    14000    0.015    0.000    0.086    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
      300    0.014    0.000    0.014    0.000 {method 'ge' of 'torch._C._TensorBase' objects}
     2000    0.014    0.000    0.614    0.000 /vision/torchvision/prototype/transforms/functional/_geometry.py:114(resize_image_tensor)
     1494    0.014    0.000    0.014    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
    14000    0.014    0.000    0.038    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:132(__init__)
      899    0.014    0.000    0.014    0.000 {built-in method torch.cat}
      542    0.014    0.000    0.014    0.000 {method 'sub' of 'torch._C._TensorBase' objects}
     2000    0.014    0.000    0.567    0.000 /vision/torchvision/transforms/functional_tensor.py:447(resize)
      618    0.014    0.000    0.014    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
     4000    0.013    0.000    0.037    0.000 /vision/torchvision/prototype/features/_image.py:105(spatial_size)
    36000    0.013    0.000    0.013    0.000 {method 'format' of 'str' objects}
   122426    0.013    0.000    0.013    0.000 {built-in method builtins.len}
    14000    0.013    0.000    0.034    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:102(_is_leaf)
     8000    0.012    0.000    1.202    0.000 /vision/torchvision/prototype/transforms/_transform.py:42(<listcomp>)
     2000    0.012    0.000    0.012    0.000 {method 'any' of 'torch._C._TensorBase' objects}
       39    0.012    0.000    0.012    0.000 {built-in method torch.conv2d}
      309    0.012    0.000    0.012    0.000 {method 'bmm' of 'torch._C._TensorBase' objects}
     2000    0.012    0.000    0.399    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:3765(interpolate)
    14000    0.012    0.000    0.013    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:86(_is_namedtuple_instance)
      309    0.012    0.000    0.057    0.000 /vision/torchvision/transforms/functional_tensor.py:581(_gen_affine_grid)
     2000    0.011    0.000    0.011    0.000 {function Random.seed at 0x7fe316ef3310}
     1720    0.011    0.000    0.011    0.000 {built-in method torch.linspace}
     2000    0.011    0.000    0.214    0.000 /vision/torchvision/prototype/transforms/functional/_misc.py:16(normalize)
    21466    0.011    0.000    0.025    0.000 /vision/torchvision/transforms/functional_tensor.py:9(_is_tensor_a_torch_image)
    10487    0.011    0.000    0.057    0.000 /vision/torchvision/prototype/features/_image.py:95(wrap_like)
     2000    0.010    0.000    0.225    0.000 /vision/torchvision/transforms/functional.py:214(convert_image_dtype)
    16747    0.010    0.000    0.024    0.000 {built-in method builtins.all}
     1798    0.010    0.000    0.010    0.000 {method 'new_zeros' of 'torch._C._TensorBase' objects}
    16000    0.010    0.000    0.016    0.000 /vision/torchvision/prototype/features/_feature.py:18(is_simple_tensor)
    10000    0.010    0.000    0.048    0.000 /usr/lib/python3.8/linecache.py:53(checkcache)
     6593    0.010    0.000    0.010    0.000 /vision/torchvision/prototype/features/_feature.py:150(dtype)
    18000    0.009    0.000    0.018    0.000 /usr/lib/python3.8/linecache.py:15(getline)
     4000    0.009    0.000    0.048    0.000 /vision/torchvision/prototype/transforms/functional/_meta.py:75(get_spatial_size)
    33494    0.009    0.000    0.014    0.000 /vision/torchvision/prototype/features/_feature.py:92(<genexpr>)
     1798    0.008    0.000    0.008    0.000 {method 'clamp_' of 'torch._C._TensorBase' objects}
     2348    0.008    0.000    0.111    0.000 /vision/torchvision/transforms/functional_tensor.py:534(_cast_squeeze_out)
      899    0.008    0.000    0.008    0.000 {method 'argmax' of 'torch._C._TensorBase' objects}
     2000    0.008    0.000    0.252    0.000 /usr/local/lib/python3.8/dist-packages/torch/random.py:26(manual_seed)
2330/2291    0.008    0.000    0.008    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
    10487    0.008    0.000    0.047    0.000 /vision/torchvision/prototype/features/_image.py:63(_wrap)
     4000    0.008    0.000    0.264    0.000 /vision/torchvision/prototype/transforms/_transform.py:86(<listcomp>)
    92000    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
      899    0.007    0.000    0.375    0.000 /vision/torchvision/prototype/transforms/functional/_color.py:219(equalize_image_tensor)
