         304002 function calls in 0.169 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.017    0.000    0.061    0.000 /usr/lib/python3.8/traceback.py:321(extract)
     1000    0.016    0.000    0.016    0.000 {method 'crop' of 'ImagingCore' objects}
     1000    0.015    0.000    0.025    0.000 /usr/lib/python3.8/traceback.py:388(format)
     5000    0.014    0.000    0.014    0.000 {built-in method posix.stat}
    27000    0.007    0.000    0.016    0.000 /usr/lib/python3.8/traceback.py:285(line)
    18000    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
     1000    0.005    0.000    0.005    0.000 {function Random.seed at 0x7f123b32f550}
     1000    0.005    0.000    0.052    0.000 /vision/torchvision/transforms/functional.py:557(center_crop)
     5000    0.004    0.000    0.019    0.000 /usr/lib/python3.8/linecache.py:53(checkcache)
     9000    0.004    0.000    0.008    0.000 /usr/lib/python3.8/linecache.py:15(getline)
     3000    0.004    0.000    0.006    0.000 /vision/torchvision/utils.py:538(_log_api_usage_once)
    45000    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     1000    0.003    0.000    0.020    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1178(_crop)
     1000    0.003    0.000    0.106    0.000 /usr/local/lib/python3.8/dist-packages/torch/random.py:26(manual_seed)
    10000    0.003    0.000    0.003    0.000 /usr/lib/python3.8/traceback.py:292(walk_stack)
    19000    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     1000    0.003    0.000    0.004    0.000 /usr/lib/python3.8/traceback.py:369(from_list)
    34000    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     9000    0.003    0.000    0.003    0.000 /usr/lib/python3.8/linecache.py:37(getlines)
     9000    0.002    0.000    0.003    0.000 /usr/lib/python3.8/linecache.py:147(lazycache)
     9000    0.002    0.000    0.002    0.000 /usr/lib/python3.8/traceback.py:243(__init__)
     1000    0.002    0.000    0.056    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1268(_call_impl)
     1000    0.002    0.000    0.002    0.000 {method 'manual_seed' of 'torch._C.Generator' objects}
     1000    0.002    0.000    0.003    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:531(_new)
     1000    0.002    0.000    0.096    0.000 /usr/lib/python3.8/traceback.py:193(format_stack)
    18000    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     1000    0.002    0.000    0.063    0.000 /usr/lib/python3.8/traceback.py:200(extract_stack)
     1000    0.002    0.000    0.099    0.000 /usr/local/lib/python3.8/dist-packages/torch/cuda/__init__.py:174(_lazy_call)
     1000    0.002    0.000    0.026    0.000 /usr/local/lib/python3.8/dist-packages/Pillow-9.2.0-py3.8-linux-x86_64.egg/PIL/Image.py:1154(crop)
     1000    0.002    0.000    0.004    0.000 /vision/torchvision/transforms/functional_pil.py:24(get_dimensions)
     3000    0.002    0.000    0.002    0.000 {built-in method torch._C._log_api_usage_once}
     1000    0.002    0.000    0.007    0.000 /usr/lib/python3.8/random.py:123(seed)
     1000    0.002    0.000    0.032    0.000 /vision/torchvision/transforms/functional.py:532(crop)
     1000    0.002    0.000    0.008    0.000 /vision/torchvision/transforms/functional.py:64(get_dimensions)
     1000    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     3000    0.002    0.000    0.003    0.000 /usr/local/lib/python3.8/dist-packages/torch/jit/_trace.py:1017(is_tracing)
     1000    0.001    0.000    0.100    0.000 /usr/local/lib/python3.8/dist-packages/torch/cuda/random.py:98(manual_seed_all)
     9000    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1000    0.001    0.000    0.030    0.000 /usr/lib/python3.8/traceback.py:27(format_list)
     1000    0.001    0.000    0.028    0.000 /vision/torchvision/transforms/functional_pil.py:225(crop)
     1000    0.001    0.000    0.001    0.000 {built-in method torch._C._get_tracing_state}
     9000    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
