         376434 function calls (360434 primitive calls) in 1.331 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.276    0.000    0.276    0.000 {built-in method torch._C._nn.upsample_bilinear2d}
4000/3000    0.168    0.000    0.192    0.000 {method 'to' of 'torch._C._TensorBase' objects}
2000/1000    0.100    0.000    0.101    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
     1000    0.062    0.000    0.062    0.000 {method 'div' of 'torch._C._TensorBase' objects}
2000/1000    0.057    0.000    0.059    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
36000/32000    0.053    0.000    0.412    0.000 /vision/torchvision/prototype/features/_feature.py:56(__torch_function__)
2000/1000    0.047    0.000    0.073    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     1000    0.043    0.000    0.043    0.000 {built-in method torch.round}
     5000    0.038    0.000    0.106    0.000 /vision/torchvision/prototype/features/_feature.py:37(new_like)
2000/1000    0.033    0.000    0.035    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
     1000    0.028    0.000    0.228    0.000 /vision/torchvision/transforms/functional_tensor.py:904(normalize)
    12000    0.023    0.000    0.023    0.000 {built-in method torch.as_tensor}
     5000    0.021    0.000    0.021    0.000 {built-in method _make_subclass}
     1000    0.020    0.000    0.085    0.000 /vision/torchvision/prototype/transforms/_geometry.py:97(_get_params)
     1000    0.019    0.000    0.181    0.000 /vision/torchvision/prototype/transforms/_transform.py:66(forward)
     4000    0.016    0.000    0.016    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     6000    0.015    0.000    0.021    0.000 /vision/torchvision/transforms/functional_tensor.py:9(_is_tensor_a_torch_image)
     1000    0.013    0.000    0.155    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
     5000    0.013    0.000    0.119    0.000 /vision/torchvision/prototype/features/_image.py:70(new_like)
     5000    0.012    0.000    0.056    0.000 /vision/torchvision/prototype/features/_image.py:39(__new__)
     4000    0.012    0.000    1.261    0.000 /vision/torchvision/prototype/transforms/_transform.py:32(forward)
5000/1000    0.012    0.000    1.331    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
     2624    0.009    0.000    0.009    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
     2000    0.009    0.000    0.009    0.000 {built-in method torch.randint}
     2624    0.009    0.000    0.009    0.000 {built-in method torch.empty}
     1000    0.009    0.000    0.009    0.000 {built-in method torch.tensor}
7000/6000    0.009    0.000    0.040    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
     2000    0.008    0.000    0.014    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
     1000    0.008    0.000    0.008    0.000 {built-in method torch.rand}
     1000    0.008    0.000    1.327    0.001 /vision/torchvision/prototype/transforms/_container.py:15(forward)
