         64002 function calls (62002 primitive calls) in 1.148 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2000    0.607    0.000    0.607    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     1000    0.356    0.000    0.356    0.000 {built-in method torch._C._nn.upsample_bilinear2d}
     1000    0.058    0.000    1.076    0.001 /vision/torchvision/transforms/functional_tensor.py:442(resize)
     1000    0.042    0.000    0.042    0.000 {built-in method torch.round}
3000/2000    0.012    0.000    0.012    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     1000    0.010    0.000    0.024    0.000 /vision/torchvision/prototype/features/_feature.py:37(new_like)
    10000    0.009    0.000    0.014    0.000 /vision/torchvision/prototype/features/_feature.py:56(__torch_function__)
     1000    0.008    0.000    1.115    0.001 /vision/torchvision/prototype/transforms/functional/_geometry.py:99(resize_image_tensor)
     1000    0.006    0.000    0.013    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
     1000    0.005    0.000    0.363    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:3765(interpolate)
     1000    0.004    0.000    0.004    0.000 {built-in method _make_subclass}
     1000    0.003    0.000    0.112    0.000 /vision/torchvision/transforms/functional_tensor.py:529(_cast_squeeze_out)
     2000    0.003    0.000    0.003    0.000 {built-in method torch.as_tensor}
     2000    0.003    0.000    0.004    0.000 /vision/torchvision/transforms/functional_tensor.py:9(_is_tensor_a_torch_image)
     1000    0.003    0.000    0.027    0.000 /vision/torchvision/prototype/features/_image.py:70(new_like)
     1000    0.003    0.000    1.148    0.001 /vision/torchvision/prototype/transforms/functional/_geometry.py:150(resize)
     1000    0.002    0.000    0.012    0.000 /vision/torchvision/prototype/features/_image.py:39(__new__)
     1000    0.002    0.000    1.145    0.001 /vision/torchvision/prototype/features/_image.py:135(resize)
2000/1000    0.002    0.000    0.003    0.000 {method 'numel' of 'torch._C._TensorBase' objects}
     1000    0.002    0.000    0.543    0.001 /vision/torchvision/transforms/functional_tensor.py:513(_cast_squeeze_in)
    12000    0.001    0.000    0.001    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     1000    0.001    0.000    0.007    0.000 /vision/torchvision/prototype/features/_feature.py:20(__new__)
     5000    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     1000    0.001    0.000    0.001    0.000 /usr/lib/python3.8/types.py:171(__get__)
     2000    0.001    0.000    0.005    0.000 /vision/torchvision/transforms/functional_tensor.py:13(_assert_image_tensor)
     1000    0.001    0.000    0.001    0.000 /vision/torchvision/transforms/functional.py:363(_compute_resized_output_size)
     2000    0.000    0.000    0.000    0.000 {built-in method builtins.len}
     1000    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_unary}
     1000    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:753(value)
     1000    0.000    0.000    0.000    0.000 /vision/torchvision/prototype/features/_feature.py:102(_F)
     2000    0.000    0.000    0.000    0.000 /usr/lib/python3.8/typing.py:1149(cast)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/cProfile.py:133(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


