         309430 function calls (291798 primitive calls) in 56.379 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000   15.482    0.015   15.482    0.015 {method 'to' of 'torch._C._TensorBase' objects}
      270    9.112    0.034    9.112    0.034 {built-in method torch.nn.functional.pad}
      200    7.150    0.036    7.150    0.036 {built-in method torch._C._nn.upsample_nearest2d}
17434/15865    7.068    0.000    7.089    0.000 /vision/torchvision/prototype/features/_feature.py:61(__torch_function__)
      600    6.557    0.011    6.557    0.011 {method 'copy_' of 'torch._C.StorageBase' objects}
      400    6.550    0.016    6.550    0.016 {built-in method torch.round}
      200    1.612    0.008   56.376    0.282 /vision/torchvision/prototype/transforms/_container.py:15(forward)
      200    1.142    0.006    1.142    0.006 {built-in method torch._C._nn.upsample_bilinear2d}
      400    0.623    0.002   31.465    0.079 /vision/torchvision/transforms/functional_tensor.py:447(resize)
      400    0.510    0.001   19.773    0.049 /vision/torchvision/transforms/functional_tensor.py:534(_cast_squeeze_out)
      800    0.162    0.000   16.404    0.021 /vision/torchvision/prototype/transforms/_geometry.py:845(_transform)
     2401    0.029    0.000    0.069    0.000 /vision/torchvision/prototype/features/_feature.py:42(new_like)
2610/1740    0.019    0.000    0.020    0.000 {method 'view' of 'torch._C._TensorBase' objects}
     3001    0.017    0.000    0.017    0.000 {built-in method _make_subclass}
      600    0.016    0.000    6.622    0.011 /usr/local/lib/python3.8/dist-packages/torch/_tensor.py:100(__deepcopy__)
      200    0.016    0.000    0.036    0.000 /vision/torchvision/prototype/transforms/_geometry.py:736(_get_params)
      200    0.015    0.000    0.075    0.000 /vision/torchvision/prototype/transforms/_geometry.py:795(_get_params)
10200/1600    0.014    0.000    0.049    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
      135    0.009    0.000    0.021    0.000 /vision/torchvision/prototype/transforms/functional/_geometry.py:677(pad_bounding_box)
     3433    0.009    0.000    0.009    0.000 {built-in method torch.as_tensor}
      400    0.009    0.000    0.009    0.000 {built-in method torch.rand}
      194    0.009    0.000    0.022    0.000 /vision/torchvision/prototype/transforms/functional/_geometry.py:719(crop_bounding_box)
    10200    0.007    0.000    0.010    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:112(__init__)
