         225074 function calls (212348 primitive calls) in 37.275 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  500/400    7.903    0.016    7.908    0.020 {method 'to' of 'torch._C._TensorBase' objects}
  200/100    7.043    0.035    7.044    0.070 {method 'flip' of 'torch._C._TensorBase' objects}
       71    4.861    0.068    4.861    0.068 {built-in method torch.nn.functional.pad}
      100    3.606    0.036    3.606    0.036 {built-in method torch._C._nn.upsample_nearest2d}
8783/7570    3.562    0.000   10.973    0.001 /vision/torchvision/prototype/features/_feature.py:61(__torch_function__)
      300    3.343    0.011    3.343    0.011 {method 'copy_' of 'torch._C.StorageBase' objects}
      100    3.076    0.031    3.076    0.031 {built-in method torch.round}
      100    1.428    0.014   37.274    0.373 /vision/torchvision/prototype/transforms/_container.py:15(forward)
      100    0.924    0.009    0.924    0.009 {method 'resize' of 'ImagingCore' objects}
      100    0.348    0.003   15.078    0.151 /vision/torchvision/transforms/functional_tensor.py:447(resize)
      100    0.262    0.003    9.578    0.096 /vision/torchvision/transforms/functional_tensor.py:534(_cast_squeeze_out)
      100    0.231    0.002    0.231    0.002 {method 'div' of 'torch._C._TensorBase' objects}
      400    0.114    0.000    8.650    0.022 /vision/torchvision/prototype/transforms/_geometry.py:845(_transform)
      100    0.079    0.001    0.079    0.001 {method 'transpose' of 'ImagingCore' objects}
     4900    0.065    0.000    0.065    0.000 {method 'encode' of 'ImagingEncoder' objects}
       50    0.036    0.001    0.036    0.001 {method 'crop' of 'ImagingCore' objects}
       71    0.036    0.001    0.036    0.001 {built-in method PIL._imaging.fill}
      100    0.030    0.000    0.030    0.000 {method 'join' of 'bytes' objects}
      100    0.022    0.000    0.123    0.001 {built-in method numpy.array}
     1513    0.019    0.000    0.046    0.000 /vision/torchvision/prototype/features/_feature.py:42(new_like)
       71    0.014    0.000    0.014    0.000 {method 'paste' of 'ImagingCore' objects}
     1913    0.013    0.000    0.013    0.000 {built-in method _make_subclass}
6900/1100    0.010    0.000    0.035    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
 1213/842    0.009    0.000    0.010    0.000 {method 'view' of 'torch._C._TensorBase' objects}
      100    0.009    0.000    0.019    0.000 /vision/torchvision/prototype/transforms/functional/_geometry.py:30(horizontal_flip_bounding_box)
     2313    0.009    0.000    0.009    0.000 {built-in method torch.as_tensor}
      300    0.008    0.000    3.375    0.011 /usr/local/lib/python3.8/dist-packages/torch/_tensor.py:100(__deepcopy__)
      100    0.007    0.000    0.016    0.000 /vision/torchvision/prototype/transforms/_geometry.py:736(_get_params)
