         275434 function calls (270434 primitive calls) in 1.147 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.294    0.000    0.294    0.000 {built-in method torch._C._nn.upsample_bilinear2d}
     3000    0.172    0.000    0.172    0.000 {method 'to' of 'torch._C._TensorBase' objects}
     1000    0.102    0.000    0.102    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
     1000    0.070    0.000    0.114    0.000 /vision/torchvision/transforms/functional_tensor.py:68(convert_image_dtype)
     1000    0.057    0.000    0.057    0.000 {method 'div_' of 'torch._C._TensorBase' objects}
     1000    0.044    0.000    0.044    0.000 {built-in method torch.round}
     1000    0.044    0.000    0.044    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     1000    0.028    0.000    0.028    0.000 {method 'sub_' of 'torch._C._TensorBase' objects}
     1000    0.021    0.000    0.173    0.000 /vision/torchvision/transforms/functional_tensor.py:904(normalize)
     1000    0.020    0.000    0.075    0.000 /vision/torchvision/prototype/transforms/_geometry.py:97(_get_params)
     1000    0.018    0.000    0.148    0.000 /vision/torchvision/prototype/transforms/_transform.py:66(forward)
     4000    0.016    0.000    0.016    0.000 {method 'view' of 'torch._C._TensorBase' objects}
5000/1000    0.012    0.000    1.147    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1184(_call_impl)
     4000    0.012    0.000    1.077    0.000 /vision/torchvision/prototype/transforms/_transform.py:32(forward)
     2000    0.010    0.000    0.010    0.000 {built-in method torch.as_tensor}
     1000    0.010    0.000    0.010    0.000 {built-in method torch.tensor}
     2000    0.009    0.000    0.009    0.000 {built-in method torch.randint}
     2624    0.009    0.000    0.009    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
     1000    0.009    0.000    0.013    0.000 /vision/torchvision/transforms/functional_tensor.py:132(crop)
7000/6000    0.009    0.000    0.039    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:139(tree_flatten)
     1000    0.009    0.000    1.143    0.001 /vision/torchvision/prototype/transforms/_container.py:15(forward)
     2624    0.009    0.000    0.009    0.000 {built-in method torch.empty}
     1000    0.007    0.000    0.007    0.000 {built-in method torch.rand}
     7000    0.007    0.000    0.010    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:112(__init__)
     3000    0.007    0.000    0.009    0.000 /vision/torchvision/transforms/functional_tensor.py:24(get_dimensions)
     1000    0.007    0.000    0.517    0.001 /vision/torchvision/prototype/transforms/functional/_geometry.py:99(resize_image_tensor)
     4000    0.006    0.000    0.961    0.000 /vision/torchvision/prototype/transforms/_transform.py:38(<listcomp>)
    42000    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
     1000    0.006    0.000    0.496    0.000 /vision/torchvision/transforms/functional_tensor.py:442(resize)
     1000    0.006    0.000    0.006    0.000 {method 'any' of 'torch._C._TensorBase' objects}
     5000    0.006    0.000    0.006    0.000 {built-in method torch._C._get_tracing_state}
     7000    0.005    0.000    0.014    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:102(_is_leaf)
     1312    0.005    0.000    0.005    0.000 {built-in method torch.exp}
     1000    0.005    0.000    0.302    0.000 /usr/local/lib/python3.8/dist-packages/torch/nn/functional.py:3765(interpolate)
     8000    0.005    0.000    0.006    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:86(_is_namedtuple_instance)
     6000    0.005    0.000    0.014    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:132(__init__)
     4624    0.004    0.000    0.004    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     4000    0.004    0.000    0.006    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:161(tree_unflatten)
     1000    0.004    0.000    0.124    0.000 /vision/torchvision/transforms/functional.py:211(convert_image_dtype)
     7000    0.004    0.000    0.006    0.000 /vision/torchvision/prototype/features/_feature.py:13(is_simple_tensor)
     1000    0.004    0.000    0.177    0.000 /vision/torchvision/prototype/transforms/functional/_misc.py:17(normalize)
     5000    0.004    0.000    0.008    0.000 /vision/torchvision/prototype/transforms/_utils.py:36(_isinstance)
     1000    0.004    0.000    0.117    0.000 /vision/torchvision/transforms/functional_tensor.py:529(_cast_squeeze_out)
     7000    0.003    0.000    0.003    0.000 /vision/torchvision/transforms/functional_tensor.py:9(_is_tensor_a_torch_image)
     1000    0.003    0.000    0.536    0.001 /vision/torchvision/prototype/transforms/_geometry.py:138(_transform)
     8000    0.003    0.000    0.008    0.000 /usr/local/lib/python3.8/dist-packages/torch/utils/_pytree.py:96(_get_node_type)
    21000    0.003    0.000    0.003    0.000 {built-in method builtins.len}
